=== DEG_c  batch=4096  23:07 ===
    resolved: 'method': 'mtp' 
    graphs: capture_lines=1 compile_lines=4 enforce_eager=0
  DEG_c: 40 turns x 130 tokens, per-turn acceptance deltas
  turn       s   tok  gen_cum  prompt accept_len    rate
     1    6.82   130      130    7503       4.03   60.6%
     2    3.94   130      260    7645       4.68   73.6%
     3    3.63   130      390    7790       5.00   80.0%
     4    4.11   130      520    7934       4.19   63.9%
     5    3.95   130      650    8076       4.48   69.7%
     6    5.08   130      780    8216       3.27   45.5%
     7    4.27   130      910    8364       3.25   45.0%
     8    3.41   130     1040    8512       4.93   78.5%
     9    4.32   130     1170    8661       3.62   52.4%
    10    3.98   130     1300    8807       3.85   57.1%
    11    3.63   130     1430    8940       4.75   75.0%
    12    9.10   130     1560    9081       1.25    5.0%
    13    6.41   130     1690    9238       2.05   20.9%
    14    3.86   130     1820    9387       4.52   70.3%
    15    4.00   130     1950    9530       4.30   66.0%
    16    4.20   130     2080    9676       4.19   63.8%
    17    3.53   130     2210    9815       4.16   63.1%
    18    3.45   130     2340    9957       4.52   70.3%
    19    4.13   130     2470   10095       3.61   52.2%
    20    5.82   130     2600   10240       2.20   24.0%
    21    3.72   130     2730   10388       4.23   64.5%
    22    7.20   130     2860   10536       1.68   13.5%
    23    3.73   130     2990   10687       4.52   70.3%
    24    3.95   130     3120   10832       4.19   63.9%
    25    4.09   130     3250   10977       4.09   61.9%
    26    4.75   130     3380   11121       3.31   46.2%
    27    3.68   130     3510   11271       5.04   80.8%
    28    4.40   130     3640   11420       3.79   55.9%
    29    3.79   130     3770   11569       3.97   59.4%
    30    7.37   130     3900   11719       1.60   12.0%
    31    3.53   130     4030   11872       4.52   70.3%
    32    3.58   130     4160   12021       4.52   70.3%
    33    3.51   130     4290   12164       4.64   72.9%
    34    3.47   130     4420   12296       4.78   75.6%
    35    3.43   130     4550   12419       5.12   82.3%
    36    3.54   130     4680   12544       4.85   77.0%
    37    3.69   130     4810   12672       4.68   73.6%
    38    3.77   130     4940   12799       4.64   72.9%
    39    3.57   130     5070   12926       5.20   84.0%
    40    3.98   130     5200   13052       4.89   77.8%

  peak accept_len 5.20   final 4.89   min 1.25   overall 4.03
  NO sustained transition detected in this run -- regime looks fixed at startup,
  or the trigger did not fire within this many turns.
  ACCEPT DEG_c-post: drafts=1457 draft_tok=7285 accepted=3782 rate=51.9%  mean_accept_len=3.60
