=== L1_prod_mtp  venv=fnmain(dev352) MTP3  12:45 ===
  L1_equal PAIR2 lens=543/543 rep=0: A 5.0s ok | B 4.9s ok | rate=69.9%
  L1_equal PAIR2 lens=543/543 rep=1: A 4.3s ok | B 9.3s GARBAGE | rate=18.6%
  L1_equal PAIR2 lens=543/543 rep=2: A 4.2s ok | B 4.0s ok | rate=71.1%
  L1_equal PAIR2 lens=543/543 rep=3: A 9.1s GARBAGE | B 4.0s ok | rate=20.6%
  L1_equal PAIR2 lens=543/543 rep=4: A 4.5s ok | B 4.1s ok | rate=64.8%
  L1_equal PAIR2 lens=543/543 rep=5: A 9.1s GARBAGE | B 4.3s ok | rate=19.6%
  L1_equal PAIR2 lens=543/543 rep=6: A 4.0s ok | B 4.3s ok | rate=68.7%
  L1_equal PAIR2 lens=543/543 rep=7: A 4.5s ok | B 4.3s ok | rate=64.0%
  L1_plus1 PAIR2 lens=544/545 rep=0: A 4.3s ok | B 4.3s ok | rate=64.4%
  L1_plus1 PAIR2 lens=544/545 rep=1: A 4.3s ok | B 4.2s ok | rate=64.0%
  L1_plus1 PAIR2 lens=544/545 rep=2: A 4.4s ok | B 4.0s ok | rate=65.1%
  L1_plus1 PAIR2 lens=544/545 rep=3: A 4.3s ok | B 4.3s ok | rate=66.3%
  L1_plus1 PAIR2 lens=544/545 rep=4: A 3.9s ok | B 4.3s ok | rate=69.1%
  L1_plus1 PAIR2 lens=544/545 rep=5: A 9.1s GARBAGE | B 4.4s ok | rate=20.2%
  L1_plus1 PAIR2 lens=544/545 rep=6: A 4.0s ok | B 4.0s ok | rate=75.1%
  L1_plus1 PAIR2 lens=544/545 rep=7: A 9.4s GARBAGE | B 4.4s ok | rate=18.0%
  L1_minus1unit PAIR2 lens=545/511 rep=0: A 3.9s ok | B 4.1s ok | rate=74.3%
  L1_minus1unit PAIR2 lens=545/511 rep=1: A 9.2s GARBAGE | B 4.2s ok | rate=19.6%
  L1_minus1unit PAIR2 lens=545/511 rep=2: A 4.5s ok | B 4.3s ok | rate=63.6%
  L1_minus1unit PAIR2 lens=545/511 rep=3: A 9.1s GARBAGE | B 4.0s ok | rate=20.6%
  L1_minus1unit PAIR2 lens=545/511 rep=4: A 4.1s ok | B 4.2s ok | rate=70.7%
  L1_minus1unit PAIR2 lens=545/511 rep=5: A 9.0s GARBAGE | B 4.0s ok | rate=21.3%
  L1_minus1unit PAIR2 lens=545/511 rep=6: A 4.4s ok | B 4.0s ok | rate=66.3%
  L1_minus1unit PAIR2 lens=545/511 rep=7: A 4.2s ok | B 4.1s ok | rate=69.9%
  L1_minus3units PAIR2 lens=545/443 rep=0: A 4.7s ok | B 4.4s ok | rate=59.4%
  L1_minus3units PAIR2 lens=545/443 rep=1: A 9.2s GARBAGE | B 4.2s ok | rate=20.3%
  L1_minus3units PAIR2 lens=545/443 rep=2: A 9.4s GARBAGE | B 4.3s ok | rate=20.5%
  L1_minus3units PAIR2 lens=545/443 rep=3: A 4.3s ok | B 4.3s ok | rate=64.8%
  L1_minus3units PAIR2 lens=545/443 rep=4: A 9.3s GARBAGE | B 4.4s ok | rate=19.3%
  L1_minus3units PAIR2 lens=545/443 rep=5: A 4.4s ok | B 4.4s ok | rate=63.7%
  L1_minus3units PAIR2 lens=545/443 rep=6: A 9.3s GARBAGE | B 4.3s ok | rate=18.9%
  L1_minus3units PAIR2 lens=545/443 rep=7: A 4.2s ok | B 4.0s ok | rate=70.3%
  L1_equal_again PAIR2 lens=544/544 rep=0: A 4.4s ok | B 4.3s ok | rate=61.8%
  L1_equal_again PAIR2 lens=544/544 rep=1: A 4.1s ok | B 4.3s ok | rate=69.0%
  L1_equal_again PAIR2 lens=544/544 rep=2: A 9.2s GARBAGE | B 4.2s ok | rate=20.0%
  L1_equal_again PAIR2 lens=544/544 rep=3: A 4.1s ok | B 4.1s ok | rate=68.7%
  L1_equal_again PAIR2 lens=544/544 rep=4: A 4.3s ok | B 9.3s GARBAGE | rate=19.5%
  L1_equal_again PAIR2 lens=544/544 rep=5: A 4.3s ok | B 4.0s ok | rate=69.5%
  L1_equal_again PAIR2 lens=544/544 rep=6: A 4.2s ok | B 9.4s GARBAGE | rate=18.6%
  L1_equal_again PAIR2 lens=544/544 rep=7: A 3.8s ok | B 4.0s ok | rate=74.3%
== ALL DONE ==
