base cuh md5: 0549208bae0ff57c32d61214b255457c
blk  cuh md5: 87885caf46f44e801a5357bb3e1e4fad
=== BUILD base  09:28 ===
=== BUILD blk  09:28 ===
=== CORRECTNESS (gate: both must be FAILS: 0) ===
  base  FAILS: 0
  blk  FAILS: 0
=== BENCH, interleaved, 3 starts per arm ===
--- base start 1  09:29 ---
   1   8192   512 |      10.3    10.3    10.3 |     10.6    10.5    10.7 |       1.03       1.02
   1   8192  2048 |       8.8     8.5     8.9 |     10.3    10.3    10.4 |       1.18       1.21
   1  16384   512 |      13.2    13.2    13.3 |     16.5    16.5    16.7 |       1.25       1.25
   1  16384  2048 |      14.4    14.4    14.5 |     16.5    16.5    16.5 |       1.14       1.14
   1  32768   512 |      18.5    18.5    18.7 |     20.6    20.6    20.6 |       1.11       1.11
   1  32768  2048 |      20.6    20.6    20.6 |     20.6    20.6    20.6 |       1.00       1.00
   1  65536   512 |      16.5    16.5    16.5 |     23.0    22.9    23.1 |       1.40       1.39
   1  65536  2048 |      16.5    16.5    21.7 |     24.4    24.3    24.5 |       1.48       1.47
  64   8192   512 |      18.5    18.5    23.7 |     20.6    20.6    23.5 |       1.11       1.11
  64   8192  2048 |      18.8    18.7    20.2 |     21.6    20.6    25.3 |       1.15       1.10
  64  16384   512 |      26.7    26.6    26.7 |     32.9    32.8    37.4 |       1.23       1.24
  64  16384  2048 |      30.8    30.8    30.8 |     34.4    33.4    37.4 |       1.12       1.08
  64  32768   512 |      50.8    50.5    58.2 |     75.9    75.9    79.6 |       1.49       1.50
  64  32768  2048 |      57.4    57.4    65.1 |     77.9    77.9    83.8 |       1.36       1.36
  64  65536   512 |     100.4   100.4   103.9 |    149.7   149.6   150.6 |       1.49       1.49
  64  65536  2048 |     111.3   111.1   111.4 |    155.9   155.9   163.6 |       1.40       1.40
   8   8192  2048 |      12.3    12.3    12.4 |     12.4    12.4    12.4 |       1.00       1.01
   8  16384  2048 |      16.5    16.4    16.5 |     18.6    18.5    18.6 |       1.13       1.13
   8  32768  2048 |      22.6    22.6    29.7 |     22.7    22.7    22.7 |       1.00       1.00
  16   8192  2048 |      12.4    12.4    12.4 |     12.6    12.6    12.7 |       1.02       1.02
  16  16384  2048 |      17.7    17.5    23.0 |     20.0    19.7    20.1 |       1.13       1.12
  16  32768  2048 |      22.6    22.6    22.6 |     28.8    28.8    29.0 |       1.27       1.27
  32   8192  2048 |      12.4    12.3    12.4 |     12.4    12.4    12.4 |       1.00       1.01
  32  16384  2048 |      18.1    18.0    18.3 |     20.5    20.4    20.5 |       1.13       1.13
  32  32768  2048 |      39.0    39.0    46.2 |     53.4    53.3    59.5 |       1.37       1.37
--- blk start 1  09:29 ---
   1   8192   512 |      10.3    10.3    10.3 |      8.3     8.3     8.3 |       0.81       0.80
   1   8192  2048 |      10.3    10.3    10.3 |      8.3     8.3     8.3 |       0.81       0.80
   1  16384   512 |      12.8    12.6    13.0 |     10.6    10.6    10.7 |       0.83       0.84
   1  16384  2048 |      14.4    14.4    14.5 |     10.8    10.8    10.9 |       0.75       0.75
   1  32768   512 |      18.5    18.5    18.5 |     18.5    18.5    18.5 |       1.00       1.00
   1  32768  2048 |      20.6    20.5    20.6 |     18.5    18.5    18.8 |       0.90       0.90
   1  65536   512 |      16.5    16.5    16.5 |     20.6    20.6    20.6 |       1.25       1.25
   1  65536  2048 |      16.5    16.5    18.0 |     20.6    20.6    20.7 |       1.25       1.25
  64   8192   512 |      18.5    18.5    18.7 |     15.9    14.5    20.5 |       0.86       0.78
  64   8192  2048 |      18.5    18.5    24.2 |     14.5    14.4    14.5 |       0.78       0.78
  64  16384   512 |      26.7    26.7    31.9 |     20.6    20.6    20.7 |       0.77       0.77
  64  16384  2048 |      28.9    28.8    35.2 |     20.6    20.6    20.6 |       0.71       0.72
  64  32768   512 |      49.6    49.5    57.8 |     60.2    60.1    60.3 |       1.21       1.21
  64  32768  2048 |      57.1    56.4    64.2 |     63.5    61.6    67.4 |       1.11       1.09
  64  65536   512 |     100.4   100.3   100.5 |    116.8   116.8   116.9 |       1.16       1.16
  64  65536  2048 |     110.1   109.9   118.9 |    121.0   120.9   121.1 |       1.10       1.10
   8   8192  2048 |      12.4    12.3    12.5 |     10.3    10.3    10.3 |       0.84       0.83
   8  16384  2048 |      16.5    16.5    16.5 |     12.4    12.4    12.4 |       0.75       0.75
   8  32768  2048 |      22.6    22.6    22.6 |     20.6    20.6    20.6 |       0.91       0.91
  16   8192  2048 |      12.4    12.4    12.5 |     10.3    10.3    10.4 |       0.83       0.83
  16  16384  2048 |      16.5    16.5    21.6 |     12.4    12.4    12.4 |       0.75       0.75
  16  32768  2048 |      22.6    22.6    26.5 |     24.2    24.1    24.4 |       1.07       1.07
  32   8192  2048 |      12.4    12.3    12.4 |     10.3    10.3    10.4 |       0.84       0.84
  32  16384  2048 |      18.5    18.4    19.8 |     15.3    14.4    19.9 |       0.83       0.78
  32  32768  2048 |      39.1    39.0    44.5 |     43.1    43.1    49.0 |       1.10       1.10
--- base start 2  09:29 ---
