2026/09/25 03:21:33.919, 2405 MHz, 10.92 W, 40, 0x0000000000000000, 0 %
2026/09/25 03:21:34.182, 2405 MHz, 10.93 W, 40, 0x0000000000000000, 0 %
2026/09/25 03:21:34.432, 2405 MHz, 10.93 W, 40, 0x0000000000000000, 0 %
2026/09/25 03:21:34.683, 2405 MHz, 10.94 W, 40, 0x0000000000000000, 0 %
2026/09/25 03:21:34.934, 2405 MHz, 10.94 W, 40, 0x0000000000000000, 0 %
2026/09/25 03:21:35.184, 2405 MHz, 10.93 W, 40, 0x0000000000000000, 0 %
2026/09/25 03:21:35.435, 2405 MHz, 10.93 W, 40, 0x0000000000000000, 0 %
2026/09/25 03:21:35.686, 2405 MHz, 10.90 W, 40, 0x0000000000000000, 0 %
2026/09/25 03:21:35.937, 2405 MHz, 10.90 W, 40, 0x0000000000000000, 0 %
2026/09/25 03:21:36.187, 2405 MHz, 10.91 W, 40, 0x0000000000000000, 0 %
2026/09/25 03:21:36.438, 2405 MHz, 10.91 W, 40, 0x0000000000000000, 0 %
2026/09/25 03:21:36.688, 2405 MHz, 10.91 W, 40, 0x0000000000000000, 0 %
2026/09/25 03:21:36.939, 2405 MHz, 10.91 W, 40, 0x0000000000000000, 0 %
2026/09/25 03:21:37.190, 2405 MHz, 10.91 W, 40, 0x0000000000000000, 0 %
2026/09/25 03:21:37.440, 2405 MHz, 10.91 W, 40, 0x0000000000000000, 0 %
2026/09/25 03:21:37.691, 2405 MHz, 10.91 W, 40, 0x0000000000000000, 0 %
2026/09/25 03:21:37.942, 2405 MHz, 10.91 W, 40, 0x0000000000000000, 0 %
2026/09/25 03:21:38.192, 2405 MHz, 10.91 W, 40, 0x0000000000000000, 0 %
2026/09/25 03:21:38.443, 2405 MHz, 10.91 W, 40, 0x0000000000000000, 0 %
2026/09/25 03:21:38.694, 2405 MHz, 10.91 W, 40, 0x0000000000000000, 0 %
2026/09/25 03:21:38.944, 2405 MHz, 10.96 W, 40, 0x0000000000000000, 0 %
2026/09/25 03:21:39.194, 2405 MHz, 10.96 W, 40, 0x0000000000000000, 0 %
2026/09/25 03:21:39.445, 2548 MHz, 19.98 W, 43, 0x0000000000000000, 95 %
2026/09/25 03:21:39.695, 2548 MHz, 19.98 W, 43, 0x0000000000000000, 95 %
2026/09/25 03:21:39.945, 2548 MHz, 29.37 W, 43, 0x0000000000000000, 95 %
2026/09/25 03:21:40.196, 2548 MHz, 29.37 W, 43, 0x0000000000000000, 95 %
2026/09/25 03:21:40.446, 2548 MHz, 29.99 W, 44, 0x0000000000000000, 95 %
2026/09/25 03:21:40.696, 2548 MHz, 29.99 W, 44, 0x0000000000000000, 95 %
2026/09/25 03:21:40.946, 2548 MHz, 30.05 W, 44, 0x0000000000000000, 95 %
2026/09/25 03:21:41.197, 2548 MHz, 30.05 W, 44, 0x0000000000000000, 95 %
2026/09/25 03:21:41.447, 2528 MHz, 29.98 W, 44, 0x0000000000000000, 95 %
2026/09/25 03:21:41.698, 2528 MHz, 29.98 W, 44, 0x0000000000000000, 95 %
2026/09/25 03:21:41.948, 2528 MHz, 29.99 W, 44, 0x0000000000000000, 95 %
2026/09/25 03:21:42.199, 2528 MHz, 29.99 W, 44, 0x0000000000000000, 95 %
2026/09/25 03:21:42.449, 2528 MHz, 29.88 W, 44, 0x0000000000000000, 95 %
2026/09/25 03:21:42.699, 2528 MHz, 29.88 W, 44, 0x0000000000000000, 95 %
2026/09/25 03:21:42.950, 2528 MHz, 29.98 W, 45, 0x0000000000000000, 95 %
2026/09/25 03:21:43.200, 2528 MHz, 29.98 W, 45, 0x0000000000000000, 95 %
2026/09/25 03:21:43.450, 2528 MHz, 30.04 W, 45, 0x0000000000000000, 95 %
2026/09/25 03:21:43.701, 2528 MHz, 30.04 W, 45, 0x0000000000000000, 95 %
2026/09/25 03:21:43.951, 2528 MHz, 29.88 W, 45, 0x0000000000000000, 95 %
2026/09/25 03:21:44.202, 2528 MHz, 29.88 W, 45, 0x0000000000000000, 95 %
2026/09/25 03:21:44.452, 2528 MHz, 29.95 W, 45, 0x0000000000000000, 95 %
2026/09/25 03:21:44.702, 2528 MHz, 29.95 W, 45, 0x0000000000000000, 95 %
2026/09/25 03:21:44.952, 2528 MHz, 30.07 W, 45, 0x0000000000000000, 95 %
2026/09/25 03:21:45.203, 2528 MHz, 30.07 W, 45, 0x0000000000000000, 95 %
2026/09/25 03:21:45.453, 2528 MHz, 30.22 W, 45, 0x0000000000000000, 95 %
2026/09/25 03:21:45.703, 2528 MHz, 30.22 W, 45, 0x0000000000000000, 95 %
2026/09/25 03:21:45.954, 2528 MHz, 30.36 W, 45, 0x0000000000000000, 95 %
2026/09/25 03:21:46.205, 2528 MHz, 30.36 W, 45, 0x0000000000000000, 95 %
2026/09/25 03:21:46.455, 2528 MHz, 30.34 W, 45, 0x0000000000000000, 95 %
2026/09/25 03:21:46.705, 2528 MHz, 30.34 W, 45, 0x0000000000000000, 95 %
2026/09/25 03:21:46.956, 2528 MHz, 30.37 W, 45, 0x0000000000000000, 95 %
2026/09/25 03:21:47.206, 2528 MHz, 30.37 W, 45, 0x0000000000000000, 95 %
2026/09/25 03:21:47.456, 2528 MHz, 30.29 W, 45, 0x0000000000000000, 95 %
2026/09/25 03:21:47.706, 2528 MHz, 30.29 W, 45, 0x0000000000000000, 95 %
2026/09/25 03:21:47.957, 2528 MHz, 30.21 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:48.207, 2528 MHz, 30.21 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:48.458, 2528 MHz, 30.48 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:48.708, 2528 MHz, 30.48 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:48.958, 2528 MHz, 30.57 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:49.209, 2528 MHz, 30.57 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:49.459, 2528 MHz, 30.58 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:49.709, 2528 MHz, 30.58 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:49.959, 2528 MHz, 30.72 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:50.210, 2528 MHz, 30.72 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:50.460, 2528 MHz, 30.73 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:50.711, 2528 MHz, 30.73 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:50.961, 2528 MHz, 30.71 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:51.211, 2528 MHz, 30.71 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:51.462, 2528 MHz, 30.73 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:51.712, 2528 MHz, 30.73 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:51.962, 2528 MHz, 30.75 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:52.212, 2528 MHz, 30.75 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:52.462, 2528 MHz, 30.76 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:52.713, 2528 MHz, 30.76 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:52.963, 2528 MHz, 30.51 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:53.214, 2528 MHz, 30.51 W, 46, 0x0000000000000000, 95 %
2026/09/25 03:21:53.464, 2528 MHz, 30.45 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:53.714, 2528 MHz, 30.45 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:53.964, 2528 MHz, 30.60 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:54.214, 2528 MHz, 30.60 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:54.465, 2528 MHz, 30.61 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:54.715, 2528 MHz, 30.61 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:54.965, 2528 MHz, 30.73 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:55.215, 2528 MHz, 30.73 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:55.465, 2528 MHz, 30.64 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:55.716, 2528 MHz, 30.64 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:55.966, 2528 MHz, 30.62 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:56.216, 2528 MHz, 30.62 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:56.466, 2528 MHz, 30.82 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:56.716, 2528 MHz, 30.82 W, 47, 0x0000000000000000, 95 %
2026/09/25 03:21:56.967, 2528 MHz, 30.96 W, 47, 0x0000000000000000, 95 %
