=== base  thr=16384  cuhmd5=0549208b  11:47 ===
  correctness: FAILS: 0
=== blk  thr=16384  cuhmd5=87885caf  11:47 ===
  correctness: FAILS: 0
=== thr  thr=22016  cuhmd5=888b7f46  11:47 ===
  correctness: FAILS: 0
=== both  thr=22016  cuhmd5=b96325e0  11:48 ===
  correctness: FAILS: 0
=== BENCH, interleaved, 3 starts per arm ===
--- base start 1  11:48 ---
   1   8192   512 |      10.3    10.3    10.4 |     10.6    10.5    10.6 |       1.03       1.02
   1   8192  2048 |      10.3    10.3    10.3 |     10.5    10.5    10.6 |       1.02       1.02
   1  16384   512 |      12.5    12.4    12.6 |     16.5    16.5    16.5 |       1.32       1.33
   1  16384  2048 |      14.4    14.4    14.5 |     16.5    16.5    16.5 |       1.14       1.14
   1  17408   512 |      14.4    14.4    14.4 |     19.0    18.9    19.1 |       1.32       1.32
   1  17408  2048 |      15.0    14.9    15.0 |     19.5    19.3    19.7 |       1.30       1.30
   1  20480   512 |      14.4    14.4    14.5 |     20.6    20.5    20.6 |       1.43       1.43
   1  20480  2048 |      16.5    16.5    16.5 |     20.6    20.6    20.6 |       1.25       1.25
   1  21504   512 |      14.9    14.8    15.0 |     20.6    20.6    20.6 |       1.38       1.39
   1  21504  2048 |      16.5    16.5    16.7 |     20.6    20.6    20.6 |       1.25       1.25
   1  24576   512 |      14.8    14.8    14.9 |     19.9    19.8    20.0 |       1.34       1.34
   1  24576  2048 |      18.4    18.3    18.5 |     20.6    20.5    20.6 |       1.12       1.12
   1  32768   512 |      18.5    18.5    18.7 |     20.6    20.6    20.6 |       1.11       1.11
   1  32768  2048 |      20.6    20.5    20.6 |     20.6    20.6    20.6 |       1.00       1.00
   1  65536   512 |      16.5    16.5    16.5 |     22.6    22.6    22.7 |       1.38       1.38
   1  65536  2048 |      16.5    16.5    16.5 |     23.5    23.5    23.5 |       1.43       1.42
   8   8192   512 |      11.9    11.7    12.1 |     12.4    12.4    12.4 |       1.04       1.06
   8   8192  2048 |      12.3    12.3    18.5 |     13.1    12.4    15.4 |       1.06       1.00
   8  16384   512 |      14.4    14.4    14.5 |     18.5    18.5    18.6 |       1.28       1.28
   8  16384  2048 |      16.5    16.5    16.7 |     18.5    18.5    18.6 |       1.13       1.12
   8  17408   512 |      14.8    14.8    16.4 |     22.7    22.7    31.3 |       1.54       1.53
   8  17408  2048 |      16.5    16.5    20.0 |     22.7    22.6    22.7 |       1.38       1.37
   8  20480   512 |      16.5    16.5    16.5 |     24.6    24.6    24.7 |       1.50       1.49
   8  20480  2048 |      18.5    18.5    24.5 |     24.7    24.7    24.7 |       1.33       1.33
   8  21504   512 |      18.5    18.4    18.5 |     22.6    22.5    22.8 |       1.22       1.22
   8  21504  2048 |      18.5    18.5    18.7 |     22.6    22.6    22.6 |       1.22       1.22
   8  24576   512 |      16.5    16.5    22.2 |     22.6    22.6    22.7 |       1.37       1.37
   8  24576  2048 |      18.6    18.6    24.2 |     22.7    22.6    22.7 |       1.22       1.22
   8  32768   512 |      19.3    19.3    19.4 |     22.7    22.6    22.7 |       1.17       1.17
   8  32768  2048 |      22.2    22.1    22.3 |     24.2    22.7    28.9 |       1.09       1.03
   8  65536   512 |      33.2    33.1    39.5 |     46.3    46.1    49.3 |       1.39       1.39
   8  65536  2048 |      34.9    34.9    34.9 |     47.2    47.2    47.3 |       1.35       1.35
  64   8192   512 |      18.5    18.5    18.6 |     20.6    20.6    20.6 |       1.11       1.11
  64   8192  2048 |      18.6    18.5    25.3 |     20.6    20.6    20.6 |       1.11       1.11
  64  16384   512 |      26.7    26.7    26.7 |     32.8    32.8    32.9 |       1.23       1.23
  64  16384  2048 |      30.8    30.8    30.9 |     32.9    32.9    33.2 |       1.07       1.07
  64  17408   512 |      26.7    26.7    26.7 |     53.4    53.3    60.9 |       2.00       2.00
  64  17408  2048 |      30.8    30.8    30.9 |     53.4    53.4    53.4 |       1.73       1.73
  64  20480   512 |      28.8    28.8    28.8 |     57.5    57.5    62.0 |       2.00       2.00
  64  20480  2048 |      32.9    32.8    33.0 |     59.2    59.0    59.3 |       1.80       1.80
  64  21504   512 |      30.8    30.8    37.1 |     59.5    59.5    63.0 |       1.93       1.93
  64  21504  2048 |      34.9    34.9    34.9 |     59.9    59.8    60.1 |       1.72       1.71
  64  24576   512 |      30.8    30.8    31.6 |     65.7    65.7    71.1 |       2.13       2.13
  64  24576  2048 |      36.9    36.8    44.5 |     67.7    67.6    67.7 |       1.83       1.84
  64  32768   512 |      49.3    49.2    49.3 |     75.9    75.8    75.9 |       1.54       1.54
  64  32768  2048 |      55.8    55.7    56.1 |     77.7    77.6    84.2 |       1.39       1.39
  64  65536   512 |     100.4   100.3   100.4 |    149.6   149.6   153.2 |       1.49       1.49
  64  65536  2048 |     108.5   108.5   114.2 |    151.9   151.9   151.9 |       1.40       1.40
--- blk start 1  11:48 ---
   1   8192   512 |      10.3    10.3    10.5 |      8.3     8.3     8.3 |       0.81       0.81
   1   8192  2048 |      10.3    10.3    10.3 |      8.3     8.3     8.3 |       0.81       0.80
   1  16384   512 |      12.8    12.7    13.0 |     10.5    10.5    10.7 |       0.82       0.82
   1  16384  2048 |      14.4    14.4    14.5 |     10.7    10.6    10.8 |       0.74       0.74
   1  17408   512 |      14.4    14.3    14.4 |     18.5    18.5    18.7 |       1.29       1.29
   1  17408  2048 |      15.0    14.9    15.0 |     18.5    18.5    18.5 |       1.24       1.24
   1  20480   512 |      14.4    14.4    14.4 |     18.5    18.5    18.5 |       1.29       1.29
   1  20480  2048 |      16.5    16.5    16.6 |     18.5    18.5    18.7 |       1.13       1.12
   1  21504   512 |      14.8    14.8    14.9 |     18.5    18.5    18.5 |       1.25       1.26
   1  21504  2048 |      16.5    16.5    20.3 |     18.5    18.5    18.5 |       1.12       1.12
   1  24576   512 |      14.6    14.6    15.0 |     18.5    18.5    18.6 |       1.27       1.27
   1  24576  2048 |      18.5    18.5    18.6 |     19.4    18.5    26.3 |       1.05       1.00
   1  32768   512 |      18.1    18.0    18.2 |     18.5    18.5    18.6 |       1.02       1.03
   1  32768  2048 |      20.5    20.4    20.6 |     18.6    18.5    18.6 |       0.90       0.91
   1  65536   512 |      16.5    16.5    16.5 |     20.6    20.6    20.6 |       1.25       1.25
   1  65536  2048 |      16.8    16.6    16.8 |     23.2    21.6    26.0 |       1.38       1.30
   8   8192   512 |      12.0    12.0    12.3 |     10.3    10.3    10.3 |       0.86       0.86
   8   8192  2048 |      12.4    12.3    17.8 |     10.5    10.3    11.0 |       0.85       0.84
   8  16384   512 |      14.4    14.4    14.5 |     12.4    12.4    12.4 |       0.86       0.86
   8  16384  2048 |      16.5    16.5    16.5 |     12.4    12.4    12.6 |       0.75       0.75
   8  17408   512 |      14.5    14.5    14.8 |     20.6    20.6    20.6 |       1.42       1.42
   8  17408  2048 |      16.5    16.5    16.5 |     20.6    20.6    20.6 |       1.25       1.25
   8  20480   512 |      16.5    16.5    22.1 |     20.6    20.6    20.6 |       1.25       1.25
   8  20480  2048 |      18.5    18.4    18.7 |     22.9    20.6    28.0 |       1.24       1.12
   8  21504   512 |      16.5    16.5    16.5 |     20.4    20.3    20.6 |       1.24       1.23
   8  21504  2048 |      18.5    18.5    18.6 |     20.6    20.5    20.6 |       1.11       1.11
   8  24576   512 |      18.5    18.4    24.1 |     20.5    20.5    20.7 |       1.11       1.12
