== build base 19:17:41
built: /tmp/claude-1000/-home-jschmied-git-dgx-spark-setup-guide/c5ecde82-2840-4944-bce7-68e07b289e98/scratchpad/chunk_base/build/_C_base.so
    print("built:", mod); print("op:", torch.ops._C_chunk.blockwise_sm120)
== base vs chunk 19:18:24
N x K               M |    main unmodified |    main + chunking | ratio | identical
16384x2560         64 |     191.3us  28.1TF |     194.4us  27.6TF |  0.98 | True
16384x2560       2048 |    1136.8us 151.1TF |    1145.9us 149.9TF |  0.99 | True
16384x2560       4096 |    2101.9us 163.5TF |    2159.9us 159.1TF |  0.97 | True
16384x2560       4097 |    2088.2us 164.6TF |    2207.0us 155.7TF |  0.95 | True
16384x2560       5120 |    2624.6us 163.6TF |    2558.9us 167.8TF |  1.03 | True
16384x2560       6144 |    3345.4us 154.1TF |    3368.2us 153.0TF |  0.99 | True
16384x2560       8191 |    7642.9us  89.9TF |    4306.2us 159.6TF |  1.77 | True
16384x2560       8192 |    7123.0us  96.5TF |    4393.8us 156.4TF |  1.62 | True
16384x2560       8193 |    7353.2us  93.5TF |    4192.9us 163.9TF |  1.75 | True
16384x2560      12288 |   19365.9us  53.2TF |    6523.4us 158.0TF |  2.97 | True
16384x2560      16384 |   25789.1us  53.3TF |    8902.9us 154.4TF |  2.90 | True
16384x2560      32768 |   51499.2us  53.4TF |   17632.8us 155.9TF |  2.92 | True
57344x2560         64 |     691.7us  27.2TF |     672.9us  27.9TF |  1.03 | True
57344x2560       2048 |    3945.8us 152.4TF |    3868.7us 155.4TF |  1.02 | True
57344x2560       4096 |    7431.6us 161.8TF |    7391.8us 162.7TF |  1.01 | True
57344x2560       4097 |    7060.3us 170.4TF |    7612.3us 158.0TF |  0.93 | True
57344x2560       5120 |    8742.4us 171.9TF |    8708.3us 172.6TF |  1.00 | True
57344x2560       6144 |   12034.9us 149.9TF |   11727.9us 153.8TF |  1.03 | True
57344x2560       8191 |   27285.3us  88.1TF |   14890.9us 161.5TF |  1.83 | True
57344x2560       8192 |   25533.2us  94.2TF |   14705.5us 163.6TF |  1.74 | True
57344x2560       8193 |   26232.7us  91.7TF |   14429.5us 166.7TF |  1.82 | True
57344x2560      12288 |   67211.2us  53.7TF |   23139.2us 155.9TF |  2.90 | True
57344x2560      16384 |   94561.4us  50.9TF |   30361.3us 158.4TF |  3.11 | True
57344x2560      32768 |  187688.6us  51.3TF |   59425.9us 161.9TF |  3.16 | True
5120x5120         64 |      84.2us  39.9TF |      84.6us  39.7TF |  0.99 | True
5120x5120       2048 |     650.6us 165.0TF |     649.1us 165.4TF |  1.00 | True
5120x5120       4096 |    1947.5us 110.3TF |    1878.3us 114.3TF |  1.04 | True
5120x5120       4097 |    1845.6us 116.4TF |    1384.1us 155.2TF |  1.33 | True
5120x5120       5120 |    3527.5us  76.1TF |    1631.4us 164.5TF |  2.16 | True
5120x5120       6144 |    4133.1us  77.9TF |    2014.6us 159.9TF |  2.05 | True
5120x5120       8191 |    5547.3us  77.4TF |    3655.4us 117.5TF |  1.52 | True
5120x5120       8192 |    5666.2us  75.8TF |    3831.7us 112.1TF |  1.48 | True
5120x5120       8193 |    5514.3us  77.9TF |    2786.0us 154.2TF |  1.98 | True
5120x5120      12288 |    8292.3us  77.7TF |    5587.6us 115.3TF |  1.48 | True
5120x5120      16384 |   11445.3us  75.1TF |    7216.5us 119.0TF |  1.59 | True
5120x5120      32768 |   22543.7us  76.2TF |   14810.9us 116.0TF |  1.52 | True
2048x2560         64 |      12.5us  53.7TF |      12.3us  54.4TF |  1.01 | True
2048x2560       2048 |     138.4us 155.2TF |     138.4us 155.1TF |  1.00 | True
2048x2560       4096 |     286.1us 150.1TF |     287.2us 149.6TF |  1.00 | True
2048x2560       4097 |     290.2us 148.0TF |     289.8us 148.2TF |  1.00 | True
2048x2560       5120 |     365.8us 146.8TF |     366.3us 146.6TF |  1.00 | True
2048x2560       6144 |     427.0us 150.9TF |     428.9us 150.2TF |  1.00 | True
2048x2560       8191 |     576.0us 149.1TF |     584.9us 146.8TF |  0.98 | True
2048x2560       8192 |     583.4us 147.3TF |     576.2us 149.1TF |  1.01 | True
2048x2560       8193 |     578.8us 148.4TF |     576.5us 149.0TF |  1.00 | True
2048x2560      12288 |     843.5us 152.8TF |     842.3us 153.0TF |  1.00 | True
2048x2560      16384 |    1132.1us 151.8TF |    1125.4us 152.7TF |  1.01 | True
2048x2560      32768 |    2286.6us 150.3TF |    2248.9us 152.8TF |  1.02 | True
48/48 identical; FAILS: 0
== ALL DONE ==
