== build v2 19:22:23
built: /tmp/claude-1000/-home-jschmied-git-dgx-spark-setup-guide/c5ecde82-2840-4944-bce7-68e07b289e98/scratchpad/chunk/build/_C_chunk.so
== base vs chunk v2 19:23:07
N x K               M |    main unmodified |    main + chunking | ratio | identical
16384x2560         64 |     192.9us  27.8TF |     192.3us  27.9TF |  1.00 | True
16384x2560       2048 |    1093.6us 157.1TF |    1103.2us 155.7TF |  0.99 | True
16384x2560       4096 |    2139.8us 160.6TF |    2141.7us 160.4TF |  1.00 | True
16384x2560       4097 |    2124.4us 161.8TF |    2106.2us 163.2TF |  1.01 | True
16384x2560       5120 |    2619.5us 164.0TF |    2629.9us 163.3TF |  1.00 | True
16384x2560       6144 |    3443.2us 149.7TF |    3372.4us 152.8TF |  1.02 | True
16384x2560       8191 |    7643.4us  89.9TF |    4260.7us 161.3TF |  1.79 | True
16384x2560       8192 |    7244.4us  94.9TF |    4375.5us 157.1TF |  1.66 | True
16384x2560       8193 |    7601.9us  90.4TF |    4193.5us 163.9TF |  1.81 | True
16384x2560      12288 |   19525.9us  52.8TF |    6592.8us 156.4TF |  2.96 | True
16384x2560      16384 |   25055.9us  54.9TF |    8928.6us 153.9TF |  2.81 | True
16384x2560      32768 |   51372.6us  53.5TF |   17686.2us 155.4TF |  2.90 | True
57344x2560         64 |     688.1us  27.3TF |     672.9us  27.9TF |  1.02 | True
57344x2560       2048 |    3907.8us 153.9TF |    3905.2us 154.0TF |  1.00 | True
57344x2560       4096 |    7596.7us 158.3TF |    7586.2us 158.5TF |  1.00 | True
57344x2560       4097 |    7447.9us 161.5TF |    7452.6us 161.4TF |  1.00 | True
57344x2560       5120 |    8791.7us 171.0TF |    8762.4us 171.6TF |  1.00 | True
57344x2560       6144 |   12288.0us 146.8TF |   11829.8us 152.5TF |  1.04 | True
57344x2560       8191 |   27422.2us  87.7TF |   14927.2us 161.1TF |  1.84 | True
57344x2560       8192 |   25844.4us  93.1TF |   15568.0us 154.5TF |  1.66 | True
57344x2560       8193 |   27035.4us  89.0TF |   14428.9us 166.7TF |  1.87 | True
57344x2560      12288 |   69935.1us  51.6TF |   22720.4us 158.8TF |  3.08 | True
57344x2560      16384 |   94919.1us  50.7TF |   30006.8us 160.3TF |  3.16 | True
57344x2560      32768 |  188769.7us  51.0TF |   60291.1us 159.6TF |  3.13 | True
5120x5120         64 |      75.0us  44.7TF |      76.8us  43.7TF |  0.98 | True
5120x5120       2048 |     649.1us 165.4TF |     679.5us 158.0TF |  0.96 | True
5120x5120       4096 |    1896.6us 113.2TF |    1349.5us 159.1TF |  1.41 | True
5120x5120       4097 |    1637.4us 131.2TF |    1382.4us 155.4TF |  1.18 | True
5120x5120       5120 |    3291.1us  81.6TF |    1706.4us 157.3TF |  1.93 | True
5120x5120       6144 |    4082.3us  78.9TF |    2024.9us 159.1TF |  2.02 | True
5120x5120       8191 |    5644.5us  76.1TF |    2698.0us 159.2TF |  2.09 | True
5120x5120       8192 |    5736.0us  74.9TF |    2701.5us 159.0TF |  2.12 | True
5120x5120       8193 |    5577.8us  77.0TF |    2807.5us 153.0TF |  1.99 | True
5120x5120      12288 |    8444.8us  76.3TF |    4042.1us 159.4TF |  2.09 | True
5120x5120      16384 |   11713.7us  73.3TF |    5406.5us 158.9TF |  2.17 | True
5120x5120      32768 |   22407.7us  76.7TF |   10798.6us 159.1TF |  2.08 | True
2048x2560         64 |      12.6us  53.1TF |      12.4us  54.3TF |  1.02 | True
2048x2560       2048 |     138.4us 155.1TF |     140.9us 152.5TF |  0.98 | True
2048x2560       4096 |     287.5us 149.4TF |     289.3us 148.4TF |  0.99 | True
2048x2560       4097 |     288.0us 149.2TF |     291.3us 147.5TF |  0.99 | True
2048x2560       5120 |     367.8us 146.0TF |     368.5us 145.7TF |  1.00 | True
2048x2560       6144 |     430.1us 149.8TF |     427.5us 150.7TF |  1.01 | True
2048x2560       8191 |     576.7us 148.9TF |     577.1us 148.8TF |  1.00 | True
2048x2560       8192 |     577.4us 148.8TF |     578.9us 148.4TF |  1.00 | True
2048x2560       8193 |     578.5us 148.5TF |     578.8us 148.4TF |  1.00 | True
2048x2560      12288 |     845.9us 152.3TF |     845.8us 152.3TF |  1.00 | True
2048x2560      16384 |    1134.4us 151.4TF |    1127.4us 152.4TF |  1.01 | True
2048x2560      32768 |    2251.3us 152.6TF |    2254.3us 152.4TF |  1.00 | True
48/48 identical; FAILS: 0
== ALL DONE ==
