t	phase	MemAvailable	MemFree	residual	SwapUsed	Cached
0.0	start	118.41	116.54	1.11	1.66	2.59
0.5	start	118.22	116.18	1.11	1.66	2.76
1.0	start	118.13	116.06	1.12	1.66	2.79
1.5	start	118.05	115.93	1.12	1.66	2.84
2.0	start	117.99	115.85	1.13	1.66	2.86
2.5	start	117.95	115.80	1.13	1.66	2.88
3.0	start	117.95	115.80	1.13	1.66	2.88
3.5	start	117.95	115.79	1.12	1.66	2.88
4.1	start	117.94	115.74	1.13	1.66	2.92
4.6	start	117.89	115.67	1.13	1.66	2.95
5.1	start	117.85	115.61	1.13	1.66	2.97
5.6	start	117.81	115.55	1.14	1.66	2.98
6.1	start	117.76	115.41	1.14	1.66	3.08
6.6	start	117.76	115.21	1.14	1.66	3.27
7.1	start	117.52	114.97	1.13	1.66	3.27
7.6	start	117.42	114.87	1.13	1.66	3.27
8.1	start	117.37	114.81	1.14	1.66	3.27
8.6	start	117.32	114.77	1.14	1.66	3.27
9.1	start	117.31	114.76	1.14	1.66	3.27
9.6	start	117.25	114.70	1.14	1.66	3.27
10.1	start	117.20	114.64	1.14	1.66	3.27
10.6	start	117.17	114.61	1.14	1.66	3.27
11.1	start	117.15	114.60	1.14	1.66	3.27
11.6	start	116.59	114.04	1.18	1.66	3.27
12.1	start	116.80	114.24	1.49	1.66	3.27
12.6	start	117.09	114.53	1.49	1.66	3.27
13.2	start	116.66	114.11	1.51	1.66	3.27
13.7	start	117.03	114.47	1.51	1.66	3.28
14.2	start	116.88	114.32	1.51	1.66	3.28
14.7	start	116.80	114.25	1.50	1.66	3.28
15.2	start	116.75	114.20	1.49	1.66	3.28
15.7	start	116.74	114.18	1.50	1.66	3.28
16.2	start	116.69	114.13	1.49	1.66	3.28
16.7	start	116.64	114.08	1.49	1.66	3.28
17.2	start	116.58	114.02	1.49	1.66	3.28
17.7	start	116.57	114.01	1.49	1.66	3.28
18.2	start	116.32	113.76	1.22	1.66	3.28
18.7	start	116.24	113.68	1.19	1.66	3.28
19.2	start	117.16	114.60	1.46	1.66	3.28
19.7	start	117.14	114.58	1.46	1.66	3.28
20.2	start	116.92	114.36	1.46	1.66	3.28
20.7	start	116.92	114.36	1.45	1.66	3.28
21.3	start	116.84	114.28	1.45	1.66	3.28
21.8	start	116.73	114.17	1.46	1.66	3.28
22.3	start	116.73	114.17	1.46	1.66	3.28
22.8	start	116.60	114.04	1.44	1.66	3.28
23.3	start	116.60	114.04	1.44	1.66	3.28
23.8	start	116.50	113.94	1.45	1.66	3.28
24.3	start	116.44	113.88	1.46	1.66	3.28
24.8	start	116.43	113.87	1.46	1.66	3.28
25.3	start	116.37	113.81	1.44	1.66	3.28
25.8	start	116.10	113.54	1.49	1.66	3.28
26.3	start	115.86	113.30	1.45	1.66	3.28
26.8	start	115.82	113.26	1.39	1.66	3.28
27.3	start	115.82	113.26	1.35	1.66	3.28
27.8	start	115.67	113.11	1.34	1.66	3.28
28.3	start	115.67	113.11	1.29	1.66	3.28
28.8	start	115.54	112.98	1.28	1.66	3.28
29.3	start	115.48	112.92	1.49	1.66	3.28
29.8	start	114.89	112.33	1.43	1.66	3.28
30.3	start	114.60	112.04	1.44	1.66	3.28
30.9	start	114.57	112.01	1.97	1.66	3.28
31.4	start	114.52	111.96	1.97	1.66	3.28
31.9	start	114.50	111.94	1.94	1.66	3.28
32.4	start	114.50	111.94	1.94	1.66	3.28
32.9	start	114.45	111.89	1.93	1.66	3.28
33.4	start	114.41	111.85	1.87	1.66	3.28
33.9	start	114.39	111.83	1.91	1.66	3.28
34.4	start	114.06	111.50	1.91	1.66	3.28
34.9	start	113.48	110.91	2.10	1.66	3.33
35.4	start	113.85	111.28	2.09	1.66	3.37
35.9	start	111.64	109.05	4.09	1.66	3.38
36.4	start	110.46	107.81	5.18	1.66	3.45
36.9	start	97.79	95.14	17.64	1.66	3.45
37.4	start	84.33	81.68	30.78	1.66	3.45
37.9	start	70.55	67.90	44.02	1.66	3.45
38.4	start	56.23	53.57	57.28	1.66	3.45
38.9	start	42.74	40.08	70.55	1.66	3.45
39.4	start	39.29	36.59	73.90	1.66	3.50
40.0	start	39.20	36.41	73.92	1.66	3.58
40.5	start	39.10	36.24	73.93	1.66	3.66
41.0	start	39.01	36.06	73.93	1.66	3.74
41.5	start	38.93	35.91	74.27	1.66	3.82
42.0	start	38.83	35.72	74.29	1.66	3.91
42.5	start	38.74	35.55	74.30	1.66	3.99
43.0	start	38.65	35.37	74.31	1.66	4.07
43.5	start	38.90	35.55	74.30	1.66	4.15
44.0	start	38.82	35.38	74.31	1.66	4.23
44.5	start	38.73	35.22	74.31	1.66	4.31
45.0	start	38.63	35.04	74.33	1.66	4.39
45.5	start	38.56	34.89	74.32	1.66	4.47
46.0	start	38.80	35.04	74.34	1.66	4.55
46.5	start	38.72	34.88	74.34	1.66	4.63
47.0	start	38.62	34.70	74.36	1.66	4.71
47.5	start	38.54	34.54	74.35	1.66	4.79
48.0	start	38.78	34.70	74.37	1.66	4.87
48.5	start	38.69	34.53	74.36	1.66	4.96
49.1	start	38.60	34.36	74.37	1.66	5.04
49.6	start	38.52	34.20	74.37	1.66	5.12
50.1	start	38.75	34.35	74.39	1.66	5.20
50.6	start	38.67	34.19	74.39	1.66	5.28
51.1	start	38.58	34.01	74.40	1.66	5.36
51.6	start	38.48	33.83	74.42	1.66	5.44
52.1	start	38.68	33.96	74.47	1.66	5.52
52.6	start	38.59	33.78	74.48	1.66	5.60
53.1	start	38.50	33.61	74.49	1.66	5.68
53.6	start	38.43	33.46	74.48	1.66	5.77
54.1	start	38.66	33.62	74.50	1.66	5.84
54.6	start	38.59	33.46	74.49	1.66	5.92
55.1	start	38.50	33.29	74.49	1.66	6.00
55.6	start	38.42	33.13	74.49	1.66	6.09
56.1	start	38.66	33.29	74.51	1.66	6.17
56.6	start	38.58	33.13	74.51	1.66	6.25
57.1	start	38.49	32.96	74.51	1.66	6.33
57.7	start	38.41	32.80	74.51	1.66	6.41
58.2	start	38.64	32.95	74.53	1.66	6.49
58.7	start	38.58	32.80	74.51	1.66	6.57
59.2	start	38.48	32.62	74.53	1.66	6.65
59.7	start	38.39	32.46	74.53	1.66	6.73
60.2	start	38.63	32.62	74.55	1.66	6.81
60.7	start	38.55	32.46	74.55	1.66	6.89
61.2	start	38.46	32.28	74.56	1.66	6.98
61.7	start	38.39	32.13	74.55	1.66	7.06
62.2	start	38.62	32.28	74.57	1.66	7.13
62.7	start	38.55	32.14	74.55	1.66	7.21
63.2	start	38.46	31.96	74.57	1.66	7.29
63.7	start	38.37	31.79	74.57	1.66	7.38
64.2	start	38.61	31.95	74.59	1.66	7.45
64.7	start	38.54	31.80	74.57	1.66	7.54
65.2	start	38.44	31.62	74.59	1.66	7.62
65.7	start	38.36	31.46	74.59	1.66	7.70
66.2	start	38.58	31.60	74.62	1.66	7.78
66.8	start	38.51	31.45	74.61	1.66	7.86
67.3	start	38.42	31.27	74.62	1.66	7.94
67.8	start	38.35	31.12	74.61	1.66	8.02
68.3	start	38.54	31.23	74.64	1.66	8.10
68.8	start	38.49	31.11	74.63	1.66	8.18
69.3	start	38.40	30.94	74.64	1.66	8.26
69.8	start	38.32	30.77	74.64	1.66	8.35
70.3	start	38.22	30.60	74.66	1.66	8.42
70.8	start	38.47	30.77	74.66	1.66	8.50
71.3	start	38.38	30.60	74.67	1.66	8.59
71.8	start	38.29	30.42	74.69	1.66	8.67
72.3	start	38.20	30.25	74.70	1.66	8.75
72.8	start	38.44	30.41	74.71	1.66	8.82
73.3	start	38.34	30.23	74.72	1.66	8.91
73.8	start	38.25	30.06	74.73	1.66	8.99
74.3	start	38.16	29.89	74.73	1.66	9.07
74.8	start	38.39	30.04	74.76	1.66	9.15
75.3	start	38.33	29.90	74.74	1.66	9.23
75.8	start	38.27	29.75	74.72	1.66	9.31
76.3	start	38.17	29.58	74.74	1.66	9.39
76.9	start	38.42	29.75	74.74	1.66	9.47
77.4	start	38.34	29.58	74.74	1.66	9.55
77.9	start	38.25	29.41	74.75	1.66	9.63
78.4	start	38.16	29.25	74.76	1.66	9.71
78.9	start	38.40	29.40	74.78	1.66	9.79
79.4	start	38.31	29.24	74.78	1.66	9.87
79.9	start	38.21	29.06	74.79	1.66	9.95
80.4	start	38.14	28.90	74.79	1.66	10.03
80.9	start	38.39	29.08	74.79	1.66	10.11
81.4	start	38.33	28.94	74.76	1.66	10.19
81.9	start	38.23	28.75	74.79	1.66	10.28
82.4	start	38.14	28.57	74.80	1.66	10.36
82.9	start	38.36	28.72	74.82	1.66	10.44
83.4	start	38.29	28.56	74.82	1.66	10.52
83.9	start	38.19	28.39	74.83	1.66	10.60
84.4	start	38.10	28.22	74.84	1.66	10.68
84.9	start	38.34	28.38	74.85	1.66	10.76
85.4	start	38.27	28.22	74.84	1.66	10.84
85.9	start	38.19	28.06	74.84	1.66	10.92
86.5	start	38.11	27.91	74.83	1.66	11.01
87.0	start	38.35	28.07	74.85	1.66	11.08
87.5	start	38.28	27.92	74.84	1.66	11.16
88.0	start	38.18	27.74	74.86	1.66	11.24
88.5	start	38.10	27.58	74.86	1.66	11.32
89.0	start	38.00	27.41	74.88	1.66	11.39
89.5	start	38.26	27.58	74.88	1.66	11.47
90.0	start	38.15	27.40	74.90	1.66	11.55
90.5	start	38.07	27.23	74.90	1.66	11.64
91.0	start	37.97	27.05	74.92	1.66	11.72
91.5	start	38.24	27.23	74.91	1.66	11.80
92.0	start	38.15	27.07	74.90	1.66	11.88
92.5	start	38.08	26.91	74.90	1.66	11.96
93.0	start	38.01	26.77	74.88	1.66	12.04
93.5	start	38.26	26.94	74.89	1.66	12.12
94.0	start	38.18	26.78	74.88	1.66	12.20
94.5	start	38.12	26.63	74.87	1.66	12.28
95.0	start	38.04	26.47	74.87	1.66	12.36
95.5	start	38.29	26.65	74.86	1.66	12.44
