t	phase	MemAvailable	MemFree	residual	SwapUsed	Cached
0.0	start	117.98	90.80	1.16	1.67	27.93
0.5	start	117.87	90.63	1.16	1.67	28.00
1.0	start	117.75	90.41	1.16	1.67	28.10
1.5	start	117.67	90.31	1.15	1.67	28.12
2.0	start	117.61	90.23	1.15	1.67	28.14
2.5	start	117.56	90.16	1.15	1.67	28.16
3.0	start	117.54	90.13	1.15	1.67	28.17
3.6	start	117.54	90.12	1.15	1.67	28.17
4.1	start	117.54	90.10	1.14	1.67	28.19
4.6	start	117.56	90.09	1.10	1.67	28.22
5.1	start	117.52	90.04	1.10	1.67	28.24
5.6	start	117.47	89.96	1.11	1.67	28.26
6.1	start	117.41	89.87	1.11	1.67	28.29
6.6	start	117.40	89.62	1.10	1.67	28.54
7.1	start	117.25	89.46	1.10	1.67	28.54
7.6	start	117.11	89.32	1.10	1.67	28.54
8.1	start	117.03	89.24	1.11	1.67	28.54
8.6	start	116.98	89.18	1.11	1.67	28.54
9.1	start	116.96	89.17	1.11	1.67	28.54
9.6	start	116.91	89.12	1.11	1.67	28.54
10.1	start	116.85	89.06	1.11	1.67	28.54
10.6	start	116.81	89.02	1.11	1.67	28.54
11.1	start	116.79	89.00	1.11	1.67	28.54
11.6	start	116.29	88.50	1.14	1.67	28.55
12.1	start	116.12	88.33	1.15	1.67	28.55
12.6	start	116.20	88.40	1.68	1.67	28.55
13.2	start	116.36	88.57	1.68	1.67	28.55
13.7	start	116.00	88.21	1.68	1.67	28.55
14.2	start	116.15	88.36	1.89	1.67	28.55
14.7	start	116.06	88.27	1.87	1.67	28.55
15.2	start	116.00	88.21	1.88	1.67	28.55
15.7	start	115.96	88.17	1.87	1.67	28.55
16.2	start	115.98	88.18	1.84	1.67	28.55
16.7	start	115.93	88.13	1.84	1.67	28.55
17.2	start	115.87	88.08	1.84	1.67	28.55
17.7	start	115.84	88.04	1.82	1.67	28.55
18.2	start	115.84	88.05	1.80	1.67	28.55
18.7	start	115.60	87.81	1.51	1.67	28.55
19.2	start	115.80	88.00	1.53	1.67	28.55
19.7	start	116.76	88.97	1.48	1.67	28.55
20.2	start	116.72	88.92	1.48	1.67	28.55
20.7	start	116.53	88.74	1.48	1.67	28.55
21.2	start	116.51	88.71	1.46	1.67	28.55
21.7	start	116.49	88.69	1.46	1.67	28.55
22.2	start	116.38	88.58	1.46	1.67	28.55
22.7	start	116.32	88.53	1.45	1.67	28.55
23.2	start	116.32	88.52	1.44	1.67	28.55
