t	phase	MemAvailable	MemFree	residual	SwapUsed	Cached
0.0	start	118.53	85.94	1.10	1.67	33.35
0.5	start	118.30	85.66	1.10	1.67	33.40
1.0	start	118.20	85.56	1.10	1.67	33.41
1.5	start	118.14	85.49	1.11	1.67	33.41
2.0	start	118.08	85.43	1.11	1.67	33.41
2.5	start	118.08	85.43	1.11	1.67	33.41
3.0	start	118.07	85.42	1.11	1.67	33.41
3.5	start	118.05	85.39	1.11	1.67	33.42
4.1	start	118.00	85.34	1.11	1.67	33.42
4.6	start	117.94	85.27	1.13	1.67	33.43
5.1	start	117.88	85.20	1.13	1.67	33.44
5.6	start	117.88	85.18	1.12	1.67	33.46
6.1	start	117.61	84.91	1.12	1.67	33.46
6.6	start	117.52	84.82	1.12	1.67	33.46
7.1	start	117.47	84.76	1.12	1.67	33.46
7.6	start	117.47	84.77	1.09	1.67	33.46
8.1	start	117.42	84.72	1.10	1.67	33.46
8.6	start	117.36	84.66	1.09	1.67	33.46
9.1	start	117.31	84.61	1.09	1.67	33.46
9.6	start	117.30	84.59	1.10	1.67	33.46
10.1	start	116.76	84.06	1.14	1.67	33.47
10.6	start	116.62	83.91	1.15	1.67	33.47
11.1	start	117.21	84.50	1.16	1.67	33.47
11.6	start	117.36	84.66	1.17	1.67	33.47
12.1	start	117.03	84.32	1.17	1.67	33.47
12.6	start	117.22	84.51	1.36	1.67	33.47
13.2	start	117.10	84.39	1.35	1.67	33.47
13.7	start	117.03	84.32	1.35	1.67	33.47
14.2	start	116.98	84.27	1.35	1.67	33.47
14.7	start	116.97	84.26	1.35	1.67	33.47
15.2	start	116.91	84.20	1.35	1.67	33.47
15.7	start	116.87	84.16	1.34	1.67	33.47
16.2	start	116.81	84.10	1.35	1.67	33.47
16.7	start	116.80	84.09	1.35	1.67	33.47
17.2	start	116.27	83.56	1.36	1.67	33.47
17.7	start	116.30	83.59	1.52	1.67	33.47
18.2	start	116.98	84.27	1.77	1.67	33.47
18.7	start	116.92	84.20	1.77	1.67	33.47
19.2	start	116.77	84.06	1.77	1.67	33.47
19.7	start	116.70	83.99	1.76	1.67	33.47
20.2	start	116.72	84.01	1.75	1.67	33.47
20.7	start	116.64	83.93	1.74	1.67	33.47
21.3	start	116.54	83.82	1.74	1.67	33.47
21.8	start	116.54	83.83	1.72	1.67	33.47
22.3	start	116.41	83.70	1.71	1.67	33.47
22.8	start	116.43	83.72	1.69	1.67	33.47
23.3	start	116.39	83.68	1.68	1.67	33.47
23.8	start	116.29	83.58	1.69	1.67	33.47
24.3	start	116.30	83.59	1.69	1.67	33.47
24.8	start	116.30	83.59	1.66	1.67	33.47
25.3	start	116.25	83.53	1.61	1.67	33.47
25.8	start	116.22	83.51	1.34	1.67	33.47
26.3	start	116.02	83.31	1.34	1.67	33.47
26.8	start	115.97	83.26	1.33	1.67	33.47
27.3	start	115.83	83.12	1.33	1.67	33.47
27.8	start	115.79	83.08	1.32	1.67	33.47
28.3	start	115.63	82.92	1.32	1.67	33.47
28.8	start	115.57	82.86	1.54	1.67	33.47
29.3	start	115.56	82.84	1.54	1.67	33.47
29.8	start	115.02	82.31	1.44	1.67	33.47
30.4	start	114.69	81.98	1.45	1.67	33.47
30.9	start	115.14	82.42	1.53	1.67	33.47
31.4	start	115.09	82.38	1.50	1.67	33.47
31.9	start	115.06	82.35	1.50	1.67	33.47
32.4	start	115.06	82.35	1.49	1.67	33.47
32.9	start	115.01	82.30	1.49	1.67	33.47
33.4	start	114.96	82.25	1.48	1.67	33.47
33.9	start	114.94	82.23	1.43	1.67	33.47
34.4	start	114.85	82.14	1.43	1.67	33.47
34.9	start	114.34	81.63	1.38	1.67	33.52
35.4	start	114.06	81.34	1.77	1.67	33.56
35.9	start	113.57	80.84	2.27	1.67	33.57
36.4	start	111.49	78.70	4.08	1.67	33.63
36.9	start	99.52	66.72	14.86	1.67	33.63
37.4	start	87.02	54.23	27.15	1.67	33.63
37.9	start	74.65	41.86	39.31	1.67	33.63
38.4	start	62.06	29.26	51.70	1.67	33.63
39.0	start	49.44	16.64	64.10	1.67	33.63
39.5	start	39.45	6.62	73.89	1.67	33.67
40.0	start	39.36	6.51	73.96	1.67	33.69
40.5	start	39.30	6.41	73.97	1.67	33.72
