t	phase	MemAvailable	MemFree	residual	SwapUsed	Cached
0.0	start	118.70	90.62	1.06	1.68	28.86
0.5	start	118.50	90.24	1.06	1.68	29.03
1.0	start	118.42	90.13	1.06	1.68	29.06
1.5	start	118.35	90.03	1.06	1.68	29.09
2.0	start	118.29	89.96	1.06	1.68	29.11
2.5	start	118.26	89.92	1.06	1.68	29.12
3.0	start	118.26	89.91	1.06	1.68	29.12
3.6	start	118.26	89.90	1.05	1.68	29.13
4.1	start	118.26	89.86	1.05	1.68	29.16
4.6	start	118.21	89.79	1.05	1.68	29.19
5.1	start	118.15	89.71	1.07	1.68	29.21
5.6	start	118.12	89.66	1.07	1.68	29.23
6.1	start	118.07	89.44	1.07	1.68	29.40
6.6	start	118.07	89.33	1.07	1.68	29.50
7.1	start	117.84	89.10	1.05	1.68	29.51
7.6	start	117.73	88.99	1.06	1.68	29.51
8.1	start	117.68	88.94	1.06	1.68	29.51
8.6	start	117.64	88.90	1.06	1.68	29.51
9.1	start	117.63	88.89	1.06	1.68	29.51
9.6	start	117.57	88.83	1.06	1.68	29.51
10.1	start	117.51	88.77	1.07	1.68	29.51
10.6	start	117.46	88.72	1.06	1.68	29.51
11.1	start	117.46	88.72	1.06	1.68	29.51
11.6	start	116.91	88.17	1.08	1.68	29.51
12.1	start	116.82	88.08	1.08	1.68	29.51
12.7	start	117.87	89.13	1.26	1.68	29.51
13.2	start	117.29	88.55	1.29	1.68	29.51
13.7	start	116.99	88.25	1.30	1.68	29.51
14.2	start	117.36	88.61	1.29	1.68	29.51
14.7	start	117.26	88.51	1.29	1.68	29.51
15.2	start	117.21	88.46	1.28	1.68	29.51
15.7	start	117.17	88.42	1.28	1.68	29.51
16.2	start	117.16	88.42	1.28	1.68	29.51
16.7	start	117.09	88.35	1.28	1.68	29.51
17.2	start	117.02	88.28	1.30	1.68	29.51
17.7	start	116.99	88.24	1.29	1.68	29.51
18.2	start	116.69	87.94	1.27	1.68	29.51
18.7	start	116.42	87.68	1.27	1.68	29.51
19.2	start	116.97	88.23	1.29	1.68	29.51
19.7	start	117.54	88.80	1.29	1.68	29.51
20.2	start	117.52	88.78	1.29	1.68	29.51
20.7	start	117.34	88.60	1.28	1.68	29.51
21.2	start	117.31	88.57	1.29	1.68	29.51
21.8	start	117.24	88.50	1.29	1.68	29.51
22.3	start	117.13	88.39	1.31	1.68	29.51
22.8	start	117.12	88.38	1.28	1.68	29.51
23.3	start	117.01	88.27	1.28	1.68	29.51
23.8	start	116.97	88.23	1.29	1.68	29.51
24.3	start	116.98	88.23	1.28	1.68	29.51
24.8	start	116.88	88.13	1.27	1.68	29.51
25.3	start	116.82	88.08	1.28	1.68	29.51
25.8	start	116.82	88.08	1.28	1.68	29.51
26.3	start	116.76	88.01	1.27	1.68	29.51
26.8	start	116.51	87.76	1.31	1.68	29.51
27.3	start	116.27	87.53	1.27	1.68	29.51
27.8	start	116.19	87.44	1.26	1.68	29.51
28.3	start	116.09	87.33	1.24	1.68	29.53
28.8	start	116.00	87.23	1.24	1.68	29.54
29.3	start	115.94	87.18	1.24	1.68	29.54
29.8	start	115.78	87.01	1.24	1.68	29.54
30.3	start	115.75	86.98	1.47	1.68	29.54
30.9	start	115.64	86.87	1.45	1.68	29.54
31.4	start	114.94	86.17	1.43	1.68	29.54
31.9	start	115.39	86.62	1.43	1.68	29.54
32.4	start	115.33	86.56	1.41	1.68	29.54
32.9	start	115.29	86.52	1.40	1.68	29.54
33.4	start	115.28	86.51	1.38	1.68	29.54
33.9	start	115.25	86.48	1.38	1.68	29.54
34.4	start	115.21	86.44	1.37	1.68	29.54
34.9	start	115.17	86.40	1.35	1.68	29.54
35.4	start	115.16	86.39	1.32	1.68	29.54
35.9	start	114.67	85.90	1.32	1.68	29.54
36.4	start	114.05	85.27	1.66	1.68	29.60
36.9	start	114.44	85.65	1.68	1.68	29.60
37.4	start	112.18	83.38	3.73	1.68	29.62
37.9	start	106.97	78.13	7.77	1.68	29.66
38.4	start	95.10	66.26	19.37	1.68	29.66
39.0	start	82.84	53.99	31.43	1.68	29.66
39.5	start	70.50	41.66	43.56	1.68	29.66
40.0	start	58.09	29.25	55.76	1.68	29.66
40.5	start	45.64	16.79	68.01	1.68	29.66
41.0	start	39.91	11.03	73.56	1.68	29.69
41.5	start	39.85	10.93	73.63	1.68	29.73
42.0	start	39.78	10.83	73.63	1.68	29.77
42.5	start	39.73	10.74	73.63	1.68	29.80
43.0	start	39.66	10.64	73.64	1.68	29.84
43.5	start	39.60	10.54	73.64	1.68	29.87
44.0	start	39.53	10.44	73.98	1.68	29.91
44.5	start	39.48	10.36	73.98	1.68	29.94
45.0	start	39.43	10.27	73.97	1.68	29.97
45.5	start	39.36	10.18	73.98	1.68	30.01
46.0	start	39.30	10.08	73.99	1.68	30.04
46.5	start	39.25	9.99	73.99	1.68	30.07
47.0	start	39.52	10.23	73.99	1.68	30.11
47.6	start	39.46	10.13	74.00	1.68	30.14
48.1	start	39.40	10.04	74.00	1.68	30.17
48.6	start	39.34	9.95	74.01	1.68	30.20
49.1	start	39.29	9.87	74.00	1.68	30.24
49.6	start	39.21	9.75	74.02	1.68	30.28
50.1	start	39.47	9.98	74.03	1.68	30.31
50.6	start	39.41	9.88	74.03	1.68	30.35
51.1	start	39.35	9.78	74.03	1.68	30.38
51.6	start	39.28	9.67	74.05	1.68	30.42
52.1	start	39.21	9.57	74.05	1.68	30.46
52.6	start	39.14	9.46	74.06	1.68	30.49
53.1	start	39.42	9.71	74.05	1.68	30.53
53.6	start	39.35	9.60	74.07	1.68	30.56
54.1	start	39.29	9.50	74.06	1.68	30.60
54.6	start	39.21	9.39	74.07	1.68	30.64
55.1	start	39.14	9.28	74.08	1.68	30.68
55.6	start	39.41	9.51	74.08	1.68	30.71
56.2	start	39.36	9.42	74.08	1.68	30.75
56.7	start	39.27	9.30	74.09	1.68	30.79
57.2	start	39.21	9.20	74.09	1.68	30.83
57.7	start	39.14	9.10	74.10	1.68	30.87
58.2	start	39.43	9.35	74.10	1.68	30.90
58.7	start	39.36	9.24	74.11	1.68	30.93
59.2	start	39.30	9.15	74.10	1.68	30.97
59.7	start	39.23	9.04	74.11	1.68	31.01
60.2	start	39.18	8.95	74.11	1.68	31.04
60.7	start	39.11	8.85	74.12	1.68	31.08
61.2	start	39.39	9.10	74.11	1.68	31.11
61.7	start	39.32	8.98	74.13	1.68	31.15
62.2	start	39.27	8.91	74.12	1.68	31.18
62.7	start	39.20	8.80	74.13	1.68	31.21
63.2	start	39.15	8.72	74.12	1.68	31.25
63.7	start	39.08	8.62	74.14	1.68	31.28
64.2	start	39.37	8.87	74.12	1.68	31.32
64.7	start	39.31	8.77	74.13	1.68	31.35
65.2	start	39.30	8.73	74.07	1.68	31.39
65.7	start	39.23	8.62	74.08	1.68	31.42
66.2	start	39.17	8.53	74.08	1.68	31.46
66.8	start	39.43	8.74	74.10	1.68	31.50
67.3	start	39.37	8.65	74.10	1.68	31.53
67.8	start	39.30	8.54	74.11	1.68	31.57
68.3	start	39.23	8.44	74.11	1.68	31.61
68.8	start	39.16	8.34	74.13	1.68	31.64
69.3	start	39.10	8.24	74.13	1.68	31.67
69.8	start	39.36	8.47	74.14	1.68	31.71
70.3	start	39.30	8.38	74.14	1.68	31.74
70.8	start	39.24	8.28	74.15	1.68	31.78
71.3	start	39.17	8.18	74.16	1.68	31.81
71.8	start	39.11	8.08	74.17	1.68	31.84
72.3	start	39.05	7.99	74.18	1.68	31.88
72.8	start	39.32	8.23	74.18	1.68	31.91
73.3	start	39.26	8.14	74.19	1.68	31.94
73.8	start	39.19	8.03	74.20	1.68	31.97
