t	phase	MemAvailable	MemFree	residual	SwapUsed	Cached
0.0	start	118.30	115.25	1.27	1.68	3.51
0.5	start	118.05	115.01	1.25	1.68	3.51
1.0	start	117.96	114.91	1.25	1.68	3.51
1.5	start	117.91	114.86	1.25	1.68	3.51
2.0	start	117.88	114.84	1.25	1.68	3.51
2.5	start	117.88	114.83	1.24	1.68	3.51
3.0	start	117.87	114.83	1.25	1.68	3.51
3.6	start	117.83	114.78	1.24	1.68	3.51
4.1	start	117.78	114.73	1.24	1.68	3.51
4.6	start	117.72	114.67	1.24	1.68	3.51
5.1	start	117.72	114.67	1.23	1.68	3.51
5.6	start	117.48	114.43	1.21	1.68	3.52
6.1	start	117.38	114.33	1.23	1.68	3.52
6.6	start	117.33	114.28	1.22	1.68	3.52
7.1	start	117.29	114.24	1.22	1.68	3.52
7.6	start	117.27	114.22	1.21	1.68	3.52
8.1	start	117.22	114.17	1.21	1.68	3.52
8.6	start	117.16	114.11	1.21	1.68	3.52
9.1	start	117.13	114.08	1.20	1.68	3.52
9.6	start	116.70	113.65	1.22	1.68	3.52
10.1	start	116.50	113.45	1.22	1.68	3.52
10.6	start	116.94	113.89	1.38	1.68	3.52
11.2	start	117.13	114.07	1.36	1.68	3.52
11.7	start	116.78	113.73	1.38	1.68	3.52
12.2	start	117.13	114.08	1.37	1.68	3.52
12.7	start	117.06	114.00	1.34	1.68	3.52
13.2	start	116.98	113.93	1.34	1.68	3.52
13.7	start	116.94	113.88	1.33	1.68	3.52
14.2	start	116.93	113.88	1.33	1.68	3.52
14.7	start	116.87	113.82	1.33	1.68	3.52
15.2	start	116.83	113.77	1.32	1.68	3.52
15.7	start	116.77	113.71	1.32	1.68	3.52
16.2	start	116.77	113.72	1.31	1.68	3.52
16.7	start	116.27	113.21	1.29	1.68	3.52
17.2	start	116.72	113.67	1.35	1.68	3.52
17.7	start	117.30	114.24	1.35	1.68	3.52
18.2	start	117.29	114.23	1.35	1.68	3.52
18.7	start	117.08	114.02	1.35	1.68	3.52
19.2	start	117.09	114.03	1.34	1.68	3.52
19.7	start	117.00	113.94	1.34	1.68	3.52
20.2	start	116.90	113.85	1.33	1.68	3.52
20.8	start	116.91	113.86	1.32	1.68	3.52
21.3	start	116.76	113.70	1.32	1.68	3.52
21.8	start	116.77	113.71	1.31	1.68	3.52
22.3	start	116.68	113.63	1.31	1.68	3.52
22.8	start	116.60	113.54	1.33	1.68	3.52
23.3	start	116.61	113.55	1.32	1.68	3.52
23.8	start	116.54	113.48	1.29	1.68	3.52
24.3	start	116.32	113.26	1.33	1.68	3.52
24.8	start	116.03	112.97	1.32	1.68	3.52
25.3	start	115.93	112.87	1.32	1.68	3.52
25.8	start	115.89	112.83	1.32	1.68	3.52
26.3	start	115.75	112.69	1.31	1.68	3.52
26.8	start	115.68	112.63	1.31	1.68	3.52
27.3	start	115.55	112.49	1.31	1.68	3.52
27.8	start	115.50	112.44	1.52	1.68	3.52
28.3	start	115.13	112.08	1.50	1.68	3.52
28.8	start	114.78	111.72	1.38	1.68	3.52
29.3	start	115.25	112.19	1.35	1.68	3.52
29.8	start	115.19	112.13	1.35	1.68	3.52
30.3	start	115.16	112.11	1.33	1.68	3.52
30.9	start	115.15	112.10	1.33	1.68	3.52
31.4	start	115.10	112.04	1.32	1.68	3.52
31.9	start	115.04	111.99	1.32	1.68	3.52
32.4	start	115.02	111.96	1.32	1.68	3.52
32.9	start	114.71	111.65	1.31	1.68	3.52
33.4	start	114.12	111.06	1.49	1.68	3.57
33.9	start	114.01	110.94	1.95	1.68	3.60
34.4	start	111.72	108.64	4.03	1.68	3.62
34.9	start	108.97	105.83	6.67	1.68	3.68
35.4	start	96.34	93.20	19.07	1.68	3.68
35.9	start	82.63	79.49	32.57	1.68	3.68
36.4	start	68.30	65.16	45.60	1.68	3.68
36.9	start	54.77	51.63	58.81	1.68	3.68
37.4	start	41.33	38.19	72.03	1.68	3.68
37.9	start	39.40	36.21	73.88	1.68	3.73
38.4	start	39.32	36.04	73.89	1.68	3.81
38.9	start	39.22	35.86	73.90	1.68	3.89
39.5	start	39.12	35.68	73.92	1.68	3.98
40.0	start	39.03	35.51	74.26	1.68	4.06
40.5	start	38.94	35.33	74.28	1.68	4.14
41.0	start	38.84	35.16	74.29	1.68	4.22
41.5	start	38.75	34.99	74.29	1.68	4.30
42.0	start	38.97	35.14	74.32	1.68	4.38
42.5	start	38.87	34.95	74.34	1.68	4.46
43.0	start	38.77	34.77	74.36	1.68	4.54
43.5	start	38.70	34.61	74.36	1.68	4.62
44.0	start	38.60	34.44	74.37	1.68	4.70
44.5	start	38.85	34.61	74.37	1.68	4.78
45.0	start	38.77	34.44	74.38	1.68	4.86
45.5	start	38.68	34.28	74.38	1.68	4.94
46.0	start	38.59	34.11	74.39	1.68	5.02
46.5	start	38.85	34.29	74.38	1.68	5.10
47.0	start	38.76	34.11	74.39	1.68	5.19
47.6	start	38.68	33.95	74.39	1.68	5.27
48.1	start	38.58	33.77	74.40	1.68	5.35
48.6	start	38.83	33.94	74.40	1.68	5.43
49.1	start	38.74	33.77	74.41	1.68	5.51
49.6	start	38.64	33.59	74.43	1.68	5.59
50.1	start	38.56	33.43	74.43	1.68	5.67
50.6	start	38.82	33.61	74.42	1.68	5.75
51.1	start	38.72	33.43	74.44	1.68	5.83
51.6	start	38.64	33.27	74.44	1.68	5.92
52.1	start	38.55	33.09	74.45	1.68	6.00
52.6	start	38.80	33.27	74.45	1.68	6.07
53.1	start	38.72	33.10	74.45	1.68	6.16
53.6	start	38.62	32.92	74.47	1.68	6.24
54.1	start	38.54	32.76	74.46	1.68	6.32
54.6	start	38.78	32.92	74.48	1.68	6.40
55.1	start	38.73	32.79	74.44	1.68	6.48
55.6	start	38.63	32.61	74.46	1.68	6.56
56.1	start	38.54	32.44	74.46	1.68	6.65
56.7	start	38.78	32.60	74.48	1.68	6.72
57.2	start	38.69	32.43	74.49	1.68	6.81
57.7	start	38.60	32.25	74.50	1.68	6.89
58.2	start	38.52	32.09	74.50	1.68	6.97
58.7	start	38.75	32.25	74.52	1.68	7.05
59.2	start	38.66	32.08	74.52	1.68	7.13
59.7	start	38.56	31.90	74.54	1.68	7.21
60.2	start	38.49	31.74	74.53	1.68	7.29
60.7	start	38.72	31.90	74.55	1.68	7.37
61.2	start	38.69	31.78	74.51	1.68	7.45
61.7	start	38.58	31.59	74.53	1.68	7.53
62.2	start	38.51	31.43	74.52	1.68	7.62
62.7	start	38.75	31.60	74.53	1.68	7.69
63.2	start	38.66	31.43	74.53	1.68	7.77
63.7	start	38.56	31.25	74.55	1.68	7.86
64.2	start	38.48	31.08	74.55	1.68	7.94
64.7	start	38.71	31.24	74.57	1.68	8.02
65.2	start	38.63	31.07	74.57	1.68	8.10
65.8	start	38.53	30.89	74.59	1.68	8.18
66.3	start	38.44	30.72	74.60	1.68	8.26
66.8	start	38.67	30.87	74.62	1.68	8.34
67.3	start	38.60	30.72	74.61	1.68	8.42
67.8	start	38.50	30.54	74.63	1.68	8.51
68.3	start	38.42	30.37	74.63	1.68	8.59
68.8	start	38.65	30.53	74.65	1.68	8.66
69.3	start	38.58	30.37	74.64	1.68	8.75
69.8	start	38.48	30.19	74.66	1.68	8.83
70.3	start	38.39	30.02	74.66	1.68	8.91
70.8	start	38.38	29.93	74.68	1.68	8.99
71.3	start	38.54	30.01	74.68	1.68	9.07
71.8	start	38.44	29.83	74.70	1.68	9.15
72.3	start	38.35	29.65	74.70	1.68	9.24
72.8	start	38.25	29.47	74.72	1.68	9.32
73.3	start	38.50	29.64	74.72	1.68	9.40
73.9	start	38.40	29.46	74.74	1.68	9.48
74.4	start	38.31	29.29	74.75	1.68	9.56
74.9	start	38.21	29.11	74.77	1.68	9.64
75.4	start	38.47	29.29	74.76	1.68	9.72
75.9	start	38.37	29.10	74.78	1.68	9.80
76.4	start	38.29	28.94	74.78	1.68	9.89
76.9	start	38.19	28.76	74.79	1.68	9.97
77.4	start	38.44	28.94	74.79	1.68	10.05
77.9	start	38.34	28.76	74.81	1.68	10.13
78.4	start	38.27	28.60	74.80	1.68	10.21
78.9	start	38.19	28.44	74.80	1.68	10.29
79.4	start	38.44	28.61	74.80	1.68	10.37
79.9	start	38.36	28.45	74.80	1.68	10.45
80.4	start	38.29	28.30	74.78	1.68	10.54
80.9	start	38.21	28.14	74.78	1.68	10.62
81.4	start	38.45	28.30	74.79	1.68	10.70
82.0	start	38.37	28.13	74.79	1.68	10.78
82.5	start	38.31	27.99	74.77	1.68	10.86
83.0	start	38.23	27.83	74.77	1.68	10.94
83.5	start	38.48	28.00	74.77	1.68	11.02
84.0	start	38.38	27.82	74.79	1.68	11.10
84.5	start	38.30	27.66	74.78	1.68	11.18
85.0	start	38.22	27.50	74.79	1.68	11.26
85.5	start	38.48	27.68	74.78	1.68	11.34
86.0	start	38.40	27.52	74.78	1.68	11.42
86.5	start	38.31	27.35	74.78	1.68	11.51
87.0	start	38.22	27.17	74.79	1.68	11.59
