t	phase	MemAvailable	MemFree	residual	SwapUsed	Cached
0.0	start	118.36	86.22	1.28	1.68	32.90
0.5	start	118.15	85.95	1.27	1.68	32.95
1.0	start	118.07	85.85	1.27	1.68	32.97
1.5	start	118.02	85.77	1.27	1.68	32.99
2.0	start	117.97	85.70	1.27	1.68	33.01
2.6	start	117.94	85.66	1.27	1.68	33.02
3.1	start	117.94	85.65	1.27	1.68	33.02
3.6	start	117.93	85.64	1.27	1.68	33.03
4.1	start	117.93	85.60	1.27	1.68	33.07
4.6	start	117.89	85.53	1.26	1.68	33.09
5.1	start	117.84	85.48	1.28	1.68	33.10
5.6	start	117.81	85.43	1.28	1.68	33.11
6.1	start	117.75	85.33	1.28	1.68	33.15
6.6	start	117.75	85.12	1.27	1.68	33.37
7.1	start	117.52	84.88	1.26	1.68	33.37
7.6	start	117.42	84.79	1.26	1.68	33.37
8.1	start	117.37	84.73	1.26	1.68	33.37
8.6	start	117.33	84.69	1.26	1.68	33.37
9.1	start	117.32	84.68	1.26	1.68	33.37
9.6	start	117.27	84.63	1.25	1.68	33.37
10.1	start	117.21	84.57	1.25	1.68	33.37
10.6	start	117.17	84.53	1.24	1.68	33.37
11.2	start	117.16	84.52	1.24	1.68	33.37
11.7	start	116.59	83.94	1.27	1.68	33.38
12.2	start	117.07	84.43	1.32	1.68	33.38
12.7	start	117.72	85.08	1.29	1.68	33.38
13.2	start	117.10	84.45	1.36	1.68	33.38
13.7	start	117.41	84.77	1.36	1.68	33.38
14.2	start	117.19	84.54	1.34	1.68	33.38
14.7	start	117.10	84.46	1.33	1.68	33.38
15.2	start	117.06	84.41	1.32	1.68	33.38
15.7	start	117.03	84.39	1.30	1.68	33.38
16.2	start	117.03	84.38	1.30	1.68	33.38
16.7	start	116.97	84.32	1.30	1.68	33.38
17.2	start	116.92	84.28	1.29	1.68	33.38
17.7	start	116.88	84.23	1.28	1.68	33.38
18.2	start	116.67	84.03	1.26	1.68	33.38
18.7	start	116.34	83.69	1.25	1.68	33.38
19.2	start	116.88	84.23	1.27	1.68	33.38
19.7	start	117.45	84.81	1.27	1.68	33.38
20.2	start	117.43	84.78	1.28	1.68	33.38
20.8	start	117.25	84.60	1.27	1.68	33.38
21.3	start	117.21	84.56	1.28	1.68	33.38
21.8	start	117.15	84.50	1.27	1.68	33.38
22.3	start	117.02	84.37	1.29	1.68	33.38
22.8	start	117.00	84.35	1.27	1.68	33.38
23.3	start	116.94	84.29	1.27	1.68	33.38
23.8	start	116.88	84.23	1.27	1.68	33.38
24.3	start	116.88	84.23	1.27	1.68	33.38
24.8	start	116.77	84.13	1.26	1.68	33.38
