=== start 1 (15:45:22) ===
rows      n     k | stock med     min     max |  det med     min     max | ratio(med) ratio(min)
   1   1024   512 |       6.2     6.1     6.6 |      6.8     6.7     6.9 |       1.08       1.09
   1   4096   512 |       8.3     8.3     8.3 |      8.3     8.3     8.3 |       1.00       1.00
   1   4096  2048 |       8.2     8.2     8.3 |      7.4     7.0     7.8 |       0.90       0.84
   1   8192   512 |      10.3    10.3    10.5 |     10.5    10.5    10.5 |       1.02       1.01
   1   8192  2048 |      10.3    10.3    10.3 |     10.4    10.4    10.5 |       1.01       1.01
   1  16384   512 |      12.4    12.4    12.4 |     15.9    15.7    16.0 |       1.28       1.27
   1  16384  2048 |      14.4    14.4    14.4 |     16.5    16.5    16.5 |       1.14       1.14
   1  32768   512 |      18.5    18.5    22.1 |     20.6    20.6    24.4 |       1.11       1.11
   1  32768  2048 |      20.5    20.5    20.6 |     20.6    20.6    20.6 |       1.00       1.00
   1  65536   512 |      16.5    16.5    16.6 |     22.6    22.6    22.6 |       1.38       1.38
   1  65536  2048 |      16.5    16.5    21.5 |     23.6    23.4    24.7 |       1.43       1.42
  64   1024   512 |      12.0    11.9    12.1 |      8.3     8.3     8.4 |       0.69       0.70
  64   4096   512 |      16.5    16.4    16.6 |     14.4    14.4    14.5 |       0.88       0.88
  64   4096  2048 |      14.4    14.4    17.3 |     14.4    14.2    20.0 |       1.00       0.98
  64   8192   512 |      18.5    18.5    24.1 |     20.6    20.6    26.5 |       1.11       1.11
  64   8192  2048 |      18.6    18.5    21.2 |     20.6    20.6    20.6 |       1.11       1.11
  64  16384   512 |      26.7    26.7    32.0 |     32.9    32.9    32.9 |       1.23       1.23
  64  16384  2048 |      28.8    28.8    32.1 |     32.9    32.9    32.9 |       1.14       1.14
  64  32768   512 |      49.2    49.2    54.6 |     75.9    75.7    82.0 |       1.54       1.54
  64  32768  2048 |      57.4    57.4    62.5 |     76.4    76.2    76.4 |       1.33       1.33
  64  65536   512 |      98.6    98.5    98.8 |    147.7   147.7   152.8 |       1.50       1.50
  64  65536  2048 |     111.5   111.3   121.5 |    155.8   155.7   155.8 |       1.40       1.40
   2   8192  2048 |      12.3    12.2    18.3 |     12.4    12.4    12.4 |       1.01       1.01
   2  16384  2048 |      16.5    16.4    17.9 |     18.6    18.5    18.6 |       1.13       1.13
   2  32768  2048 |      20.8    20.6    25.8 |     22.7    22.6    27.0 |       1.09       1.09
   4   8192  2048 |      12.2    12.1    17.8 |     12.4    12.4    12.4 |       1.02       1.02
   4  16384  2048 |      16.5    16.4    16.6 |     18.5    18.5    18.6 |       1.13       1.13
   4  32768  2048 |      22.6    22.6    28.1 |     22.6    22.6    22.9 |       1.00       1.00
