# markprobe summary by arm and script (counts of responses with DUPLICATED combining marks)

arm              date          Arabic  Devanag.   Hebrew     Thai     ZWJ
lh               2026-09-10       0/3       0/6      0/3      6/9     0/3
stock            2026-09-10       0/3       0/6      0/3      0/9     0/3
stock2           2026-09-10       0/6      0/12      0/6     0/18     0/6
lh2              2026-09-10       0/6      0/12      0/6    12/18     0/6
lh_v2            2026-09-10       0/6     12/12      0/6    12/18     0/6
lh_v3            2026-09-10       0/6      0/12      0/6     0/18     0/6
pmax             2026-09-11       0/6      0/12      0/6     0/18     0/6
det-s0           2026-09-11       0/3       3/6      0/3      0/9     0/3
stock-s0         2026-09-11       0/3       5/6      0/3      0/9     0/3
det-s1           2026-09-11       0/3       3/6      0/3      0/9     0/3
stock-s1         2026-09-11       0/3       5/6      0/3      0/9     0/3
