FNPFTIME steps=100 prefetch_ms(prep->done) p50=44.65 p90=47.419 | inputs_ms(prep->ready) p50=42.329 | touch_ms p50=2.301 p90=3.691 | gather_gpu_us p50=81.664 p90=240.736 max=2150.528 | gpu_started_before_touch_done=0.00 | majflt_during_touch p50=64 p90=67 | lookup_wait_ms p50=44.048 p90=47.243 | fault_ema=51.3
FNPFTIME steps=100 prefetch_ms(prep->done) p50=45.234 p90=47.459 | inputs_ms(prep->ready) p50=43.005 | touch_ms p50=2.201 p90=2.688 | gather_gpu_us p50=73.44 p90=168.672 max=352.192 | gpu_started_before_touch_done=0.00 | majflt_during_touch p50=59 p90=67 | lookup_wait_ms p50=45.413 p90=47.466 | fault_ema=60.8
FNPFTIME steps=100 prefetch_ms(prep->done) p50=45.165 p90=48.0 | inputs_ms(prep->ready) p50=43.214 | touch_ms p50=1.969 p90=2.728 | gather_gpu_us p50=80.416 p90=159.36 max=334.08 | gpu_started_before_touch_done=0.00 | majflt_during_touch p50=60 p90=67 | lookup_wait_ms p50=45.084 p90=47.926 | fault_ema=59.7
FNPFTIME steps=100 prefetch_ms(prep->done) p50=45.688 p90=47.794 | inputs_ms(prep->ready) p50=43.493 | touch_ms p50=2.116 p90=2.973 | gather_gpu_us p50=71.808 p90=153.952 max=259.424 | gpu_started_before_touch_done=0.00 | majflt_during_touch p50=59 p90=67 | lookup_wait_ms p50=45.687 p90=47.817 | fault_ema=59.5
FNPFTIME steps=100 prefetch_ms(prep->done) p50=44.731 p90=47.18 | inputs_ms(prep->ready) p50=42.504 | touch_ms p50=2.03 p90=2.901 | gather_gpu_us p50=73.184 p90=150.88 max=275.616 | gpu_started_before_touch_done=0.00 | majflt_during_touch p50=58 p90=67 | lookup_wait_ms p50=44.723 p90=47.721 | fault_ema=57.3
FNPFTIME steps=100 prefetch_ms(prep->done) p50=45.48 p90=47.082 | inputs_ms(prep->ready) p50=43.456 | touch_ms p50=2.101 p90=2.626 | gather_gpu_us p50=70.752 p90=152.032 max=238.784 | gpu_started_before_touch_done=0.00 | majflt_during_touch p50=58 p90=66 | lookup_wait_ms p50=45.274 p90=46.986 | fault_ema=54.4
FNPFTIME steps=100 prefetch_ms(prep->done) p50=42.756 p90=46.231 | inputs_ms(prep->ready) p50=40.318 | touch_ms p50=2.163 p90=3.224 | gather_gpu_us p50=85.888 p90=220.032 max=344.192 | gpu_started_before_touch_done=0.00 | majflt_during_touch p50=57 p90=67 | lookup_wait_ms p50=43.619 p90=46.872 | fault_ema=56.0
FNPFTIME steps=100 prefetch_ms(prep->done) p50=42.735 p90=61.412 | inputs_ms(prep->ready) p50=40.811 | touch_ms p50=2.118 p90=2.825 | gather_gpu_us p50=76.032 p90=142.88 max=336.704 | gpu_started_before_touch_done=0.39 | majflt_during_touch p50=8 p90=65 | lookup_wait_ms p50=40.956 p90=43.373 | fault_ema=0.0
FNPFTIME steps=100 prefetch_ms(prep->done) p50=60.734 p90=62.841 | inputs_ms(prep->ready) p50=57.792 | touch_ms p50=2.763 p90=3.99 | gather_gpu_us p50=14.368 p90=14.56 max=88.416 | gpu_started_before_touch_done=1.00 | majflt_during_touch p50=0 p90=0 | lookup_wait_ms p50=None p90=None | fault_ema=0.0
FNPFTIME steps=100 prefetch_ms(prep->done) p50=60.659 p90=63.164 | inputs_ms(prep->ready) p50=57.875 | touch_ms p50=2.817 p90=3.609 | gather_gpu_us p50=14.4 p90=14.56 max=14.688 | gpu_started_before_touch_done=1.00 | majflt_during_touch p50=0 p90=0 | lookup_wait_ms p50=None p90=None | fault_ema=0.0
FNPFTIME steps=100 prefetch_ms(prep->done) p50=61.344 p90=63.058 | inputs_ms(prep->ready) p50=58.373 | touch_ms p50=2.831 p90=4.042 | gather_gpu_us p50=14.336 p90=14.56 max=85.408 | gpu_started_before_touch_done=1.00 | majflt_during_touch p50=0 p90=0 | lookup_wait_ms p50=None p90=None | fault_ema=0.0
FNPFTIME steps=100 prefetch_ms(prep->done) p50=60.179 p90=62.894 | inputs_ms(prep->ready) p50=57.444 | touch_ms p50=2.623 p90=3.402 | gather_gpu_us p50=14.432 p90=14.56 max=71.872 | gpu_started_before_touch_done=1.00 | majflt_during_touch p50=0 p90=0 | lookup_wait_ms p50=None p90=None | fault_ema=0.0
FNPFTIME steps=100 prefetch_ms(prep->done) p50=60.006 p90=62.128 | inputs_ms(prep->ready) p50=57.551 | touch_ms p50=2.542 p90=3.328 | gather_gpu_us p50=14.432 p90=14.56 max=63.68 | gpu_started_before_touch_done=1.00 | majflt_during_touch p50=0 p90=0 | lookup_wait_ms p50=None p90=None | fault_ema=0.0
FNPFTIME steps=100 prefetch_ms(prep->done) p50=61.071 p90=62.72 | inputs_ms(prep->ready) p50=58.502 | touch_ms p50=2.465 p90=3.175 | gather_gpu_us p50=14.336 p90=14.56 max=63.488 | gpu_started_before_touch_done=1.00 | majflt_during_touch p50=0 p90=0 | lookup_wait_ms p50=None p90=None | fault_ema=0.0
