base FNPFTIME steps=100 prefetch_ms(prep->done) p50=67.382 p90=69.873 | inputs_ms(prep->ready) p50=62.434 | touch_ms p50=4.958 p90=7.765 | gather_gpu_us p50=5019.68 p90=7941.568 max=106872.292 | gpu_started_before_touch_done=0.99 | majflt_during_touch p50=25 p90=39 | lookup_wait_ms p50=None p90=None
base FNPFTIME steps=100 prefetch_ms(prep->done) p50=68.052 p90=72.843 | inputs_ms(prep->ready) p50=62.896 | touch_ms p50=5.048 p90=9.245 | gather_gpu_us p50=5032.416 p90=9236.288 max=13604.32 | gpu_started_before_touch_done=1.00 | majflt_during_touch p50=26 p90=37 | lookup_wait_ms p50=None p90=None
base FNPFTIME steps=100 prefetch_ms(prep->done) p50=68.499 p90=73.603 | inputs_ms(prep->ready) p50=63.392 | touch_ms p50=4.848 p90=8.895 | gather_gpu_us p50=4878.496 p90=8891.392 max=15379.968 | gpu_started_before_touch_done=1.00 | majflt_during_touch p50=26 p90=34 | lookup_wait_ms p50=None p90=None
base FNPFTIME steps=100 prefetch_ms(prep->done) p50=68.617 p90=72.435 | inputs_ms(prep->ready) p50=63.433 | touch_ms p50=4.942 p90=8.188 | gather_gpu_us p50=5143.008 p90=8139.232 max=25101.601 | gpu_started_before_touch_done=1.00 | majflt_during_touch p50=32 p90=51 | lookup_wait_ms p50=None p90=None
base FNPFTIME steps=100 prefetch_ms(prep->done) p50=66.046 p90=70.206 | inputs_ms(prep->ready) p50=61.141 | touch_ms p50=4.271 p90=6.668 | gather_gpu_us p50=4443.392 p90=6782.4 max=12675.552 | gpu_started_before_touch_done=1.00 | majflt_during_touch p50=30 p90=48 | lookup_wait_ms p50=None p90=None
base FNPFTIME steps=100 prefetch_ms(prep->done) p50=65.548 p90=67.962 | inputs_ms(prep->ready) p50=61.736 | touch_ms p50=3.596 p90=4.756 | gather_gpu_us p50=3630.24 p90=4805.92 max=12211.616 | gpu_started_before_touch_done=1.00 | majflt_during_touch p50=22 p90=34 | lookup_wait_ms p50=None p90=None
base FNPFTIME steps=100 prefetch_ms(prep->done) p50=65.012 p90=67.155 | inputs_ms(prep->ready) p50=61.588 | touch_ms p50=3.536 p90=4.698 | gather_gpu_us p50=3531.52 p90=4687.808 max=14190.88 | gpu_started_before_touch_done=1.00 | majflt_during_touch p50=22 p90=31 | lookup_wait_ms p50=None p90=None
sync FNPFTIME steps=100 prefetch_ms(prep->done) p50=47.386 p90=49.598 | inputs_ms(prep->ready) p50=43.357 | touch_ms p50=4.014 p90=4.838 | gather_gpu_us p50=96.704 p90=288.032 max=3106.016 | gpu_started_before_touch_done=0.04 | majflt_during_touch p50=65 p90=68 | lookup_wait_ms p50=47.253 p90=49.231
sync FNPFTIME steps=100 prefetch_ms(prep->done) p50=47.221 p90=49.474 | inputs_ms(prep->ready) p50=43.352 | touch_ms p50=3.932 p90=4.652 | gather_gpu_us p50=95.392 p90=262.528 max=528.704 | gpu_started_before_touch_done=0.04 | majflt_during_touch p50=60 p90=68 | lookup_wait_ms p50=47.306 p90=49.536
sync FNPFTIME steps=100 prefetch_ms(prep->done) p50=47.504 p90=49.771 | inputs_ms(prep->ready) p50=43.506 | touch_ms p50=3.716 p90=4.946 | gather_gpu_us p50=97.216 p90=278.272 max=676.384 | gpu_started_before_touch_done=0.05 | majflt_during_touch p50=63 p90=67 | lookup_wait_ms p50=47.223 p90=49.761
sync FNPFTIME steps=100 prefetch_ms(prep->done) p50=45.556 p90=48.445 | inputs_ms(prep->ready) p50=41.894 | touch_ms p50=3.647 p90=4.502 | gather_gpu_us p50=99.52 p90=165.056 max=498.912 | gpu_started_before_touch_done=0.01 | majflt_during_touch p50=59 p90=67 | lookup_wait_ms p50=45.923 p90=48.747
sync FNPFTIME steps=100 prefetch_ms(prep->done) p50=42.602 p90=45.178 | inputs_ms(prep->ready) p50=38.678 | touch_ms p50=3.842 p90=4.677 | gather_gpu_us p50=102.88 p90=201.408 max=355.744 | gpu_started_before_touch_done=0.00 | majflt_during_touch p50=58 p90=67 | lookup_wait_ms p50=42.621 p90=45.335
sync FNPFTIME steps=100 prefetch_ms(prep->done) p50=42.632 p90=45.299 | inputs_ms(prep->ready) p50=38.824 | touch_ms p50=3.671 p90=4.461 | gather_gpu_us p50=100.768 p90=132.832 max=487.392 | gpu_started_before_touch_done=0.00 | majflt_during_touch p50=58 p90=66 | lookup_wait_ms p50=42.733 p90=45.313
sync FNPFTIME steps=100 prefetch_ms(prep->done) p50=41.989 p90=45.356 | inputs_ms(prep->ready) p50=38.44 | touch_ms p50=3.781 p90=4.555 | gather_gpu_us p50=112.192 p90=141.056 max=525.504 | gpu_started_before_touch_done=0.00 | majflt_during_touch p50=57 p90=67 | lookup_wait_ms p50=42.082 p90=45.275
