-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(4)         0.00%       0.000us         0.00%       0.000us       0.000us        3.637s       112.90%        3.637s       1.374ms          2646  
void cutlass::device_kernel<vllm::cutlass_3x_gemm_fp...         0.00%       0.000us         0.00%       0.000us       0.000us     878.644ms        27.28%     878.644ms     164.694us          5335  
_ZN7cutlass13device_kernelINS_4gemm6kernel13GemmUniv...         0.00%       0.000us         0.00%       0.000us       0.000us     610.353ms        18.95%     610.353ms     230.670us          2646  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     474.159ms        14.72%     474.159ms      40.272us         11774  
_ZN7cutlass13device_kernelINS_4gemm6kernel13GemmUniv...         0.00%       0.000us         0.00%       0.000us       0.000us     345.441ms        10.72%     345.441ms     118.505us          2915  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     288.401ms         8.95%     288.401ms      27.946us         10320  
                  execute_context_1(33)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     217.846ms         6.76%     217.846ms     108.923ms             2  
                                  _C::cutlass_scaled_mm         0.03%       1.916ms         0.05%       3.381ms      22.388us     165.139ms         5.13%     165.139ms       1.094ms           151  
                                               aten::mm         0.26%      17.543ms         1.65%     110.862ms      52.792us     122.651ms         3.81%     134.666ms      64.127us          2100  
                               vllm::moe_forward_shared         0.73%      49.507ms         3.27%     220.403ms       1.386ms      94.620ms         2.94%     156.629ms     985.090us           159  
          fused_sigmoid_gating_delta_rule_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      82.773ms         2.57%      82.773ms      42.579us          1944  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      55.438ms         1.72%      55.438ms      17.964us          3086  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      54.730ms         1.70%      54.730ms     165.849us           330  
                                    Command Buffer Full        11.10%     747.691ms        11.10%     747.691ms     539.849us      48.591ms         1.51%      48.591ms      35.084us          1385  
_ZN7cutlass13device_kernelINS_4gemm6kernel13GemmUniv...         0.00%       0.000us         0.00%       0.000us       0.000us      47.674ms         1.48%      47.674ms     972.944us            49  
                                _nvfp4_rows_gemv_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      39.323ms         1.22%      39.323ms     238.319us           165  
void tensorrt_llm::kernels::cutlass_kernels::finaliz...         0.00%       0.000us         0.00%       0.000us       0.000us      25.215ms         0.78%      25.215ms       8.989us          2805  
