target dense FP8 2551 MiB | other dense (BF16 leftovers etc.) 1912 MiB [hc 1209, shared 450, router 120] | lm_head 606 | per expert 2.637 MiB
MTP dense 173 MiB (BF16) | MTP per expert 2.637 MiB | draft head 45.0 MiB | GDN state 108 MiB

measured c=1: 23.36 ms/tok x 2.535 tok/cycle = 59.2 ms per verify cycle

E_distinct(4 tok)    ctx GDN writes | target MiB draft MiB | floor ms/cycle floor ms/tok | measured/floor
               10   1024          1 |       6575       739 |           34.9        13.75 |  1.70x
               10   1024          4 |       6899       739 |           36.4        14.36 |  1.63x
               10   8192          1 |       6605       746 |           35.0        13.82 |  1.69x
               10   8192          4 |       6929       746 |           36.6        14.43 |  1.62x
               10  32768          1 |       6623       750 |           35.1        13.86 |  1.69x
               10  32768          4 |       6947       750 |           36.7        14.47 |  1.61x
               20   1024          1 |       7841       765 |           41.0        16.18 |  1.44x
               20   1024          4 |       8165       765 |           42.6        16.79 |  1.39x
               20   8192          1 |       7870       772 |           41.2        16.25 |  1.44x
               20   8192          4 |       8194       772 |           42.7        16.86 |  1.39x
               20  32768          1 |       7888       777 |           41.3        16.29 |  1.43x
               20  32768          4 |       8212       777 |           42.8        16.90 |  1.38x
               30   1024          1 |       9107       791 |           47.2        18.61 |  1.26x
               30   1024          4 |       9431       791 |           48.7        19.22 |  1.22x
               30   8192          1 |       9136       799 |           47.4        18.68 |  1.25x
               30   8192          4 |       9460       799 |           48.9        19.29 |  1.21x
               30  32768          1 |       9154       803 |           47.5        18.72 |  1.25x
               30  32768          4 |       9478       803 |           49.0        19.33 |  1.21x
             39.3   1024          1 |      10284       816 |           52.9        20.87 |  1.12x
             39.3   1024          4 |      10608       816 |           54.4        21.48 |  1.09x
             39.3   8192          1 |      10313       823 |           53.1        20.94 |  1.12x
             39.3   8192          4 |      10637       823 |           54.6        21.55 |  1.08x
             39.3  32768          1 |      10331       828 |           53.2        20.98 |  1.11x
             39.3  32768          4 |      10655       828 |           54.7        21.59 |  1.08x
