Paired per-turn TTFT, ssm run 2026-09-08. Same trajectory, same turn index, three starts per arm.
turn   new  rec_bf  rec_fp           bf16 ttft x3           fp32 ttft x3  delta med
   1  1840    1840    1840      1.426 1.347 1.357      1.362 1.623 1.380       -23ms
   2    96     272     336      0.327 0.328 0.323      0.357 0.362 0.361       -34ms
   3   920    1192    1256      1.064 1.049 1.051      0.793 0.805 0.806      +246ms
   4   794    1154    2050      0.983 0.988 0.985      1.330 1.335 1.350      -350ms
   5   375     697     825      0.534 0.534 0.526      0.579 0.584 0.581       -47ms
   6   191     888    1016      0.789 0.793 0.793      0.637 0.645 0.642      +151ms
   7   795     851    1811      0.771 0.776 0.772      1.235 1.248 1.252      -476ms
   8   128     979     339      0.839 0.841 0.829      0.376 0.381 0.419      +458ms
   9   125     272     464      0.330 0.331 0.327      0.425 0.432 0.560      -102ms
  10   484     756     948      0.595 0.593 0.591      0.670 0.671 0.689       -78ms
  11   109     865    1057      0.754 0.762 0.749      0.655 0.658 0.661       +96ms
  12   755     788    1812      0.635 0.742 0.626      1.270 1.296 1.292      -657ms
  13   392    1180     604      0.979 1.133 0.970      0.509 0.514 0.517      +465ms
  14   282     630     886      0.510 0.514 0.509      0.610 0.615 0.623      -105ms
  15   234     864    1120      0.762 0.764 0.751      0.688 0.687 0.689       +74ms
  16   182     214    1302      0.323 0.322 0.324      0.770 0.777 0.777      -454ms
  17   210     424    1512      0.428 0.430 0.421      0.811 0.813 0.804      -383ms
  18   235     659    1747      0.526 0.528 0.521      1.161 1.166 1.167      -640ms
  19    99     758     246      0.557 0.562 0.557      0.349 0.354 0.353      +204ms
  20   213     971     459      0.864 0.866 0.861      0.440 0.442 0.446      +422ms
  21   325     464     784      0.457 0.462 0.458      0.582 0.590 0.599      -132ms
  22   242     706    1026      0.534 0.533 0.533      0.641 0.640 0.652      -108ms
  23   387    1093    1413      0.956 0.949 0.950      0.773 0.779 0.783      +171ms
  24  1510    1771    2923      1.179 1.174 1.177      1.674 1.679 1.689      -502ms

TOTAL median-of-3 over 24 turns: bf16=17.04s fp32=18.84s delta=-1804ms (-9.6%)  bf16 faster on 15/24
