=== start a 11:57 ===
    K      N   w/L2     M  A MiB |  sw1 TF  sw8 TF | best   gain8% | ident
 2560   6912  0.703  2048    5.0 |   160.8   168.9 |    8     +5.0 | True
 2560   6912  0.703  4096   10.0 |   162.6   147.4 |    1     -9.3 | True
 2560   6912  0.703  6144   15.0 |   136.7   145.9 |    8     +6.8 | True
 2560   8320  0.846  2048    5.0 |   161.0   166.4 |    8     +3.3 | True
 2560   8320  0.846  4096   10.0 |   166.9   149.6 |    1    -10.4 | True
 2560   8320  0.846  6144   15.0 |   139.4   147.7 |    8     +5.9 | True
 2560   9088  0.924  2048    5.0 |   152.5   167.5 |    8     +9.8 | True
 2560   9088  0.924  4096   10.0 |   159.5   154.4 |    1     -3.2 | True
 2560   9088  0.924  6144   15.0 |   135.1   149.9 |    8    +11.0 | True
 2560   9472  0.964  2048    5.0 |   161.3   158.1 |    1     -2.0 | True
 2560   9472  0.964  4096   10.0 |   161.9   153.7 |    1     -5.0 | True
 2560   9472  0.964  6144   15.0 |   137.9   149.9 |    8     +8.7 | True
 2560   9728  0.990  2048    5.0 |   159.2   163.8 |    8     +2.9 | True
 2560   9728  0.990  4096   10.0 |   157.5   146.4 |    1     -7.0 | True
 2560   9728  0.990  6144   15.0 |   145.6   151.4 |    8     +4.0 | True
 2560   9984  1.016  2048    5.0 |   163.0   163.8 |    8     +0.5 | True
 2560   9984  1.016  4096   10.0 |   161.8   154.7 |    1     -4.4 | True
 2560   9984  1.016  6144   15.0 |   137.3   150.6 |    8     +9.7 | True
 2560  10240  1.042  2048    5.0 |   159.8   159.4 |    1     -0.2 | True
 2560  10240  1.042  4096   10.0 |   158.0   150.3 |    1     -4.9 | True
 2560  10240  1.042  6144   15.0 |   142.4   154.3 |    8     +8.3 | True
 2560  10752  1.094  2048    5.0 |   161.6   161.3 |    1     -0.2 | True
 2560  10752  1.094  4096   10.0 |   158.5   148.2 |    1     -6.5 | True
 2560  10752  1.094  6144   15.0 |   146.1   150.4 |    8     +2.9 | True
 2560  12800  1.302  2048    5.0 |   152.4   157.8 |    8     +3.5 | True
 2560  12800  1.302  4096   10.0 |   161.5   153.8 |    1     -4.8 | True
 2560  12800  1.302  6144   15.0 |   142.3   151.5 |    8     +6.5 | True
 2560  16768  1.706  2048    5.0 |   151.3   156.6 |    8     +3.5 | True
 2560  16768  1.706  4096   10.0 |   164.6   156.9 |    1     -4.7 | True
 2560  16768  1.706  6144   15.0 |   148.1   152.3 |    8     +2.9 | True
 4096   4352  0.708  2048    8.0 |   172.3   168.6 |    1     -2.2 | True
