=== start a 12:04 ===
    K      N     M   wMiB   w/L2  A MiB |  sw1 TF  sw8 TF |   gain8% | ident
 2560   1280  2048    3.1  0.130    5.0 |   153.7   152.9 |     -0.5 | True
 2560   1280  3072    3.1  0.130    7.5 |   165.9   181.5 |     +9.4 | True
 2560   1280  4096    3.1  0.130   10.0 |   164.1   172.7 |     +5.2 | True
 2560   1280  6144    3.1  0.130   15.0 |   172.7   175.3 |     +1.5 | True
 2560   1280  8192    3.1  0.130   20.0 |   168.1   174.5 |     +3.8 | True
 2560   2560  2048    6.2  0.260    5.0 |   169.6   164.8 |     -2.8 | True
 2560   2560  3072    6.2  0.260    7.5 |   174.5   175.8 |     +0.8 | True
 2560   2560  4096    6.2  0.260   10.0 |   173.0   168.4 |     -2.6 | True
 2560   2560  6144    6.2  0.260   15.0 |   177.2   174.9 |     -1.3 | True
 2560   2560  8192    6.2  0.260   20.0 |   178.5   166.2 |     -6.9 | True
 2560   3840  2048    9.4  0.391    5.0 |   159.3   164.2 |     +3.1 | True
 2560   3840  3072    9.4  0.391    7.5 |   160.1   162.9 |     +1.8 | True
 2560   3840  4096    9.4  0.391   10.0 |   174.1   165.0 |     -5.2 | True
 2560   3840  6144    9.4  0.391   15.0 |   178.9   159.0 |    -11.2 | True
 2560   3840  8192    9.4  0.391   20.0 |   176.2   154.6 |    -12.2 | True
 2560   5120  2048   12.5  0.521    5.0 |   153.7   162.0 |     +5.4 | True
 2560   5120  3072   12.5  0.521    7.5 |   161.1   140.5 |    -12.8 | True
 2560   5120  4096   12.5  0.521   10.0 |   156.4   152.3 |     -2.6 | True
 2560   5120  6144   12.5  0.521   15.0 |   162.9   148.6 |     -8.8 | True
 2560   5120  8192   12.5  0.521   20.0 |   172.1   145.4 |    -15.5 | True
 2560   7168  2048   17.5  0.729    5.0 |   158.6   167.8 |     +5.8 | True
 2560   7168  3072   17.5  0.729    7.5 |   153.4   155.8 |     +1.6 | True
 2560   7168  4096   17.5  0.729   10.0 |   167.3   153.3 |     -8.4 | True
 2560   7168  6144   17.5  0.729   15.0 |   124.0   152.5 |    +23.0 | True
 2560   7168  8192   17.5  0.729   20.0 |   131.5   154.9 |    +17.8 | True
 2560  10240  2048   25.0  1.042    5.0 |   161.9   165.8 |     +2.5 | True
 2560  10240  3072   25.0  1.042    7.5 |   154.0   155.0 |     +0.7 | True
 2560  10240  4096   25.0  1.042   10.0 |   158.5   147.3 |     -7.1 | True
 2560  10240  6144   25.0  1.042   15.0 |   135.4   153.1 |    +13.0 | True
