shape        weight |   M  | stock TF | sw8 TF | ratio | same
16384x2560     40 MiB |  2048 |    153.1 |  172.0 |  1.12 | y
16384x2560     40 MiB |  4096 |    166.8 |  153.2 |  0.92 | y
16384x2560     40 MiB |  6144 |    146.5 |  152.7 |  1.04 | y
16384x2560     40 MiB |  8192 |     92.8 |  151.5 |  1.63 | y
16384x2560     40 MiB | 12288 |     53.6 |  156.4 |  2.92 | y
16384x2560     40 MiB | 16384 |     53.2 |  155.8 |  2.93 | y
12288x2560     30 MiB |  2048 |    153.2 |  159.9 |  1.04 | y
12288x2560     30 MiB |  4096 |    160.4 |  153.7 |  0.96 | y
12288x2560     30 MiB |  6144 |    106.6 |  152.3 |  1.43 | y
12288x2560     30 MiB |  8192 |     93.0 |  153.3 |  1.65 | y
12288x2560     30 MiB | 12288 |     53.3 |  153.0 |  2.87 | y
12288x2560     30 MiB | 16384 |     52.6 |  153.1 |  2.91 | y
10240x2560     25 MiB |  2048 |    147.3 |  156.9 |  1.06 | y
10240x2560     25 MiB |  4096 |    154.8 |  152.3 |  0.98 | y
10240x2560     25 MiB |  6144 |    144.6 |  152.5 |  1.05 | y
10240x2560     25 MiB |  8192 |     89.5 |  154.2 |  1.72 | y
10240x2560     25 MiB | 12288 |     69.7 |  151.9 |  2.18 | y
10240x2560     25 MiB | 16384 |     69.7 |  154.4 |  2.22 | y
 2560x6144     15 MiB |  2048 |    177.6 |  163.3 |  0.92 | y
 2560x6144     15 MiB |  4096 |    161.4 |  160.0 |  0.99 | y
 2560x6144     15 MiB |  6144 |    172.1 |  164.6 |  0.96 | y
 2560x6144     15 MiB |  8192 |    171.2 |  164.4 |  0.96 | y
 2560x6144     15 MiB | 12288 |    167.6 |  165.6 |  0.99 | y
 2560x6144     15 MiB | 16384 |    171.8 |  167.5 |  0.97 | y
 5120x5120     25 MiB |  2048 |    164.0 |  162.0 |  0.99 | y
 5120x5120     25 MiB |  4096 |    123.4 |  165.6 |  1.34 | y
 5120x5120     25 MiB |  6144 |     76.2 |  168.5 |  2.21 | y
 5120x5120     25 MiB |  8192 |     85.9 |  163.6 |  1.90 | y
 5120x5120     25 MiB | 12288 |     81.6 |  168.4 |  2.06 | y
 5120x5120     25 MiB | 16384 |     76.8 |  168.8 |  2.20 | y
 7168x5120     35 MiB |  2048 |    165.9 |  164.5 |  0.99 | y
 7168x5120     35 MiB |  4096 |    123.3 |  163.5 |  1.33 | y
 7168x5120     35 MiB |  6144 |     52.9 |  172.4 |  3.26 | y
 7168x5120     35 MiB |  8192 |     58.1 |  169.6 |  2.92 | y
 7168x5120     35 MiB | 12288 |     57.4 |  169.7 |  2.96 | y
 7168x5120     35 MiB | 16384 |     58.3 |  168.9 |  2.90 | y
 4096x4096     16 MiB |  2048 |    162.0 |  163.4 |  1.01 | y
 4096x4096     16 MiB |  4096 |    158.4 |  160.7 |  1.01 | y
 4096x4096     16 MiB |  6144 |    163.0 |  162.8 |  1.00 | y
 4096x4096     16 MiB |  8192 |    162.7 |  163.5 |  1.01 | y
 4096x4096     16 MiB | 12288 |    165.0 |  163.5 |  0.99 | y
 4096x4096     16 MiB | 16384 |    159.7 |  164.2 |  1.03 | y
 8192x8192     64 MiB |  2048 |    158.2 |  159.3 |  1.01 | y
 8192x8192     64 MiB |  4096 |     72.3 |  167.7 |  2.32 | y
 8192x8192     64 MiB |  6144 |     54.1 |  173.5 |  3.21 | y
 8192x8192     64 MiB |  8192 |     53.4 |  171.3 |  3.21 | y
 8192x8192     64 MiB | 12288 |     53.5 |  172.2 |  3.22 | y
 8192x8192     64 MiB | 16384 |     53.5 |  170.7 |  3.19 | y
14336x4096     56 MiB |  2048 |    160.8 |  165.2 |  1.03 | y
14336x4096     56 MiB |  4096 |    153.2 |  163.7 |  1.07 | y
14336x4096     56 MiB |  6144 |     61.6 |  163.9 |  2.66 | y
14336x4096     56 MiB |  8192 |     55.5 |  166.1 |  2.99 | y
14336x4096     56 MiB | 12288 |     50.1 |  166.0 |  3.32 | y
14336x4096     56 MiB | 16384 |     51.5 |  167.1 |  3.24 | y
32768x4096    128 MiB |  2048 |    164.8 |  166.6 |  1.01 | y
32768x4096    128 MiB |  4096 |    159.5 |  162.3 |  1.02 | y
32768x4096    128 MiB |  6144 |     64.7 |  164.6 |  2.54 | y
32768x4096    128 MiB |  8192 |     54.1 |  165.7 |  3.06 | y
32768x4096    128 MiB | 12288 |     51.6 |  166.7 |  3.23 | y
32768x4096    128 MiB | 16384 |     52.7 |  168.5 |  3.20 | y
== ALL DONE ==
