=== RADIX_THRESHOLD=16384  (RADIX_THRESHOLD = 16384)  09:27 ===
FAILS: 0
   1  16384   512 |      12.8    12.6    13.0 |     16.5    16.5    16.5 |       1.29       1.31
   1  16384  2048 |      14.4    14.4    14.5 |     16.5    16.5    16.5 |       1.14       1.14
   1  32768   512 |      18.5    18.5    18.5 |     20.6    20.6    20.7 |       1.11       1.11
   1  32768  2048 |      20.6    20.5    20.6 |     20.6    20.6    20.6 |       1.00       1.00
  64  16384   512 |      26.7    26.7    33.2 |     32.9    32.8    32.9 |       1.23       1.23
  64  16384  2048 |      29.6    29.4    36.5 |     32.9    32.9    32.9 |       1.11       1.12
  64  32768   512 |      50.0    49.9    50.2 |     75.9    75.9    76.0 |       1.52       1.52
  64  32768  2048 |      57.3    57.2    66.6 |     77.9    77.9    78.0 |       1.36       1.36
   8  16384  2048 |      16.5    16.5    16.5 |     20.4    20.4    20.5 |       1.24       1.24
   8  32768  2048 |      22.6    22.6    31.9 |     22.7    22.7    22.7 |       1.01       1.00
   1  16384   512 |      12.4    12.4    12.4 |     16.4    16.4    16.5 |       1.33       1.33
   1  16384  2048 |      14.4    14.4    15.9 |     16.7    16.6    16.7 |       1.15       1.15
   1  32768   512 |      18.5    18.5    18.6 |     20.6    20.6    20.6 |       1.11       1.11
   1  32768  2048 |      20.6    20.6    20.6 |     21.0    20.9    21.1 |       1.02       1.02
  64  16384   512 |      26.7    26.7    29.8 |     32.8    32.8    32.9 |       1.23       1.23
  64  16384  2048 |      29.8    29.7    35.3 |     32.9    32.9    33.8 |       1.10       1.11
  64  32768   512 |      49.3    49.3    49.3 |     75.9    75.9    76.1 |       1.54       1.54
  64  32768  2048 |      57.1    56.8    65.0 |     78.0    78.0    82.0 |       1.37       1.37
   8  16384  2048 |      16.5    16.5    16.7 |     20.5    20.5    20.5 |       1.24       1.24
   8  32768  2048 |      22.5    22.4    22.6 |     22.7    22.7    22.7 |       1.01       1.01
   1  16384   512 |      12.8    12.7    13.1 |     16.5    16.5    16.5 |       1.29       1.30
   1  16384  2048 |      14.4    14.4    14.5 |     16.5    16.5    16.5 |       1.14       1.14
   1  32768   512 |      18.5    18.5    18.5 |     20.6    20.6    20.7 |       1.11       1.11
   1  32768  2048 |      20.6    20.5    20.6 |     20.6    20.6    20.6 |       1.00       1.00
  64  16384   512 |      26.7    26.6    31.0 |     32.9    32.8    32.9 |       1.23       1.23
  64  16384  2048 |      30.8    30.7    35.7 |     32.9    32.9    33.0 |       1.07       1.07
  64  32768   512 |      49.3    49.3    54.8 |     76.0    76.0    78.3 |       1.54       1.54
  64  32768  2048 |      57.5    57.4    67.6 |     78.0    77.9    84.7 |       1.36       1.36
   8  16384  2048 |      16.5    16.5    16.7 |     18.6    18.5    18.6 |       1.13       1.12
   8  32768  2048 |      22.6    22.6    28.5 |     22.7    22.6    22.7 |       1.00       1.00
=== RADIX_THRESHOLD=20480  (RADIX_THRESHOLD = 20480)  09:27 ===
FAILS: 0
   1  16384   512 |      13.1    12.9    14.4 |     16.5    16.5    16.5 |       1.26       1.28
   1  16384  2048 |      14.4    14.4    20.1 |     16.5    16.5    16.5 |       1.14       1.14
