=== RADIX_THRESHOLD=16384  (RADIX_THRESHOLD = 16384)  09:32 ===
FAILS: 0
   1  16384   512 |      12.4    12.4    12.6 |     15.9    15.8    15.9 |       1.28       1.28
   1  16384  2048 |      14.4    14.4    14.5 |     16.5    16.5    16.5 |       1.14       1.14
   1  17408   512 |      14.3    14.2    14.4 |     19.7    19.6    19.8 |       1.38       1.38
   1  17408  2048 |      14.7    14.6    14.8 |     20.2    20.1    20.3 |       1.37       1.38
   1  20480   512 |      14.4    14.4    14.4 |     20.6    20.5    20.6 |       1.43       1.42
   1  20480  2048 |      16.5    16.5    16.5 |     20.6    20.6    27.0 |       1.25       1.25
   1  21504   512 |      15.7    15.6    15.8 |     20.6    20.6    20.6 |       1.31       1.32
   1  21504  2048 |      16.5    16.5    20.0 |     20.6    20.6    25.4 |       1.25       1.25
   1  24576   512 |      15.8    15.7    15.9 |     20.5    20.5    20.6 |       1.30       1.31
   1  24576  2048 |      18.5    18.5    23.1 |     20.6    20.6    20.6 |       1.11       1.11
   1  32768   512 |      16.5    16.5    16.5 |     20.6    20.6    20.8 |       1.25       1.25
   1  32768  2048 |      20.5    20.5    24.9 |     20.6    20.6    21.7 |       1.00       1.00
   8  16384   512 |      14.4    14.4    14.5 |     18.5    18.5    18.6 |       1.28       1.28
   8  16384  2048 |      16.5    16.5    16.5 |     19.4    19.3    19.5 |       1.18       1.17
   8  17408   512 |      14.5    14.4    14.7 |     22.6    22.6    22.7 |       1.57       1.57
   8  17408  2048 |      17.4    17.3    21.6 |     22.7    22.6    22.7 |       1.30       1.31
   8  20480   512 |      16.5    16.5    20.6 |     24.6    24.6    24.7 |       1.49       1.49
   8  20480  2048 |      18.3    18.3    18.4 |     24.7    24.7    24.9 |       1.35       1.35
   8  21504   512 |      16.5    16.5    17.2 |     22.9    22.0    27.8 |       1.39       1.33
   8  21504  2048 |      18.5    18.5    22.5 |     22.6    22.6    22.6 |       1.22       1.22
   8  24576   512 |      16.5    16.5    17.9 |     22.6    22.6    22.7 |       1.37       1.37
   8  24576  2048 |      19.1    18.8    19.2 |     22.6    22.6    22.7 |       1.19       1.21
   8  32768   512 |      20.6    20.6    20.7 |     22.6    22.6    22.6 |       1.10       1.10
   8  32768  2048 |      20.8    20.8    21.0 |     22.7    22.7    22.7 |       1.09       1.09
  64  16384   512 |      26.7    26.6    26.7 |     32.9    32.9    33.1 |       1.23       1.24
  64  16384  2048 |      30.8    30.8    30.8 |     33.7    33.0    37.9 |       1.10       1.07
  64  17408   512 |      26.7    26.7    31.4 |     53.4    53.4    53.4 |       2.00       2.00
  64  17408  2048 |      30.8    30.8    30.9 |     53.4    53.4    53.4 |       1.73       1.73
  64  20480   512 |      28.8    28.8    33.8 |     57.5    57.4    57.5 |       1.99       2.00
  64  20480  2048 |      32.9    32.8    32.9 |     58.3    58.3    59.7 |       1.77       1.77
  64  21504   512 |      30.8    30.7    36.2 |     59.5    59.5    59.5 |       1.93       1.94
  64  21504  2048 |      34.9    34.9    34.9 |     59.7    59.5    67.2 |       1.71       1.71
  64  24576   512 |      30.8    30.8    30.8 |     66.2    66.1    66.4 |       2.15       2.15
  64  24576  2048 |      37.0    36.9    42.4 |     67.7    67.7    67.7 |       1.83       1.83
  64  32768   512 |      49.3    49.3    49.3 |     75.9    75.9    75.9 |       1.54       1.54
  64  32768  2048 |      57.4    57.3    63.4 |     77.8    77.8    78.1 |       1.36       1.36
   1  16384   512 |      12.5    12.4    12.7 |     16.5    16.5    16.5 |       1.32       1.33
   1  16384  2048 |      14.4    14.4    14.6 |     16.5    16.5    16.5 |       1.14       1.14
   1  17408   512 |      14.1    14.0    19.5 |     19.2    19.1    22.5 |       1.36       1.36
   1  17408  2048 |      14.6    14.6    14.7 |     20.0    19.9    20.0 |       1.37       1.36
   1  20480   512 |      14.4    14.4    14.8 |     20.6    20.6    20.6 |       1.43       1.42
