=== 08:59:16 kprobe, MemAvailable 118 GiB
shape                  arm    | graph us/call | kernels (device us per call)
   4x2048  full        wheel  |          6.74 | void vllm::persistent::persistent_topk_kernel<512, 4u>(vllm: 6.3; Memset (Device) 1.0
   4x2048  full        base   |          6.59 | void vllm::persistent::persistent_topk_kernel<512, 4u>(vllm: 5.9; Memset (Device) 1.0
   4x2048  full        pr     |          4.89 | void vllm::persistent::persistent_topk_kernel<512, 4u>(vllm: 3.9; Memset (Device) 0.9
   4x2048  full        exact  |         34.91 | void at::native::sbtopk::gatherTopK<float, unsigned int, 2,  11.4; void at::native::radixSortKVInPlace<2, -1, 32, 32, float, lo 11.3; void at::native::vectorized_elementwise_kernel<4, at::native 2.7; void at::native::unrolled_elementwise_kernel<at::native::dir 2.7
   4x8192  full        wheel  |          8.61 | void vllm::persistent::persistent_topk_kernel<512, 4u>(vllm: 7.5; Memset (Device) 0.9
   4x8192  full        base   |          8.28 | void vllm::persistent::persistent_topk_kernel<512, 4u>(vllm: 7.3; Memset (Device) 0.9
   4x8192  full        pr     |          6.74 | void vllm::persistent::persistent_topk_kernel<512, 4u>(vllm: 5.6; Memset (Device) 0.9
   4x8192  full        exact  |         52.37 | void at::native::sbtopk::gatherTopK<float, unsigned int, 2,  27.4; void at::native::radixSortKVInPlace<2, -1, 32, 32, float, lo 11.4; void at::native::unrolled_elementwise_kernel<at::native::dir 2.7; void at::native::vectorized_elementwise_kernel<4, at::native 2.7
  64x8192  full        wheel  |         15.69 | void vllm::persistent::persistent_topk_kernel<512, 4u>(vllm: 14.6; Memset (Device) 0.8
  64x8192  full        base   |         15.03 | void vllm::persistent::persistent_topk_kernel<512, 4u>(vllm: 13.9; Memset (Device) 0.8
  64x8192  full        pr     |         11.84 | void vllm::persistent::persistent_topk_kernel<512, 4u>(vllm: 10.7; Memset (Device) 0.8
  64x8192  full        exact  |         76.05 | void at::native::mbtopk::computeBlockDigitCounts<float, unsi 12.9; void at::native::radixSortKVInPlace<2, -1, 32, 32, float, lo 11.7; void at::native::mbtopk::gatherTopK<float, unsigned int, 2>( 8.4; void at::native::mbtopk::computeBlockwiseWithinKCounts<unsig 7.8
4096x1024  causal      wheel  |        179.56 | void vllm::persistent::persistent_topk_kernel<512, 4u>(vllm: 180.5; Memset (Device) 1.2
4096x1024  causal      base   |        177.92 | void vllm::persistent::persistent_topk_kernel<512, 4u>(vllm: 173.8; Memset (Device) 1.1
4096x1024  causal      pr     |        142.45 | void vllm::persistent::persistent_topk_kernel<512, 4u>(vllm: 141.2; Memset (Device) 1.1
4096x1024  causal      exact  |       1343.83 | Memcpy DtoD (Device -> Device) 329.8; void at::native::radixSortKVInPlace<2, -1, 32, 32, float, lo 220.5; void at::native::mbtopk::gatherTopK<float, unsigned int, 2>( 180.5; void at::native::vectorized_elementwise_kernel<4, at::native 167.4
4096x2048  causal      wheel  |        371.93 | void vllm::persistent::persistent_topk_kernel<512, 4u>(vllm: 369.2; Memset (Device) 1.2
4096x2048  causal      base   |        366.58 | void vllm::persistent::persistent_topk_kernel<512, 4u>(vllm: 364.8; Memset (Device) 1.1
4096x2048  causal      pr     |        294.58 | void vllm::persistent::persistent_topk_kernel<512, 4u>(vllm: 292.5; Memset (Device) 1.2
4096x2048  causal      exact  |       2374.23 | void at::native::mbtopk::computeBlockDigitCounts<float, unsi 710.1; Memcpy DtoD (Device -> Device) 493.4; void at::native::vectorized_elementwise_kernel<4, at::native 417.4; void at::native::mbtopk::gatherTopK<float, unsigned int, 2>( 264.9
4096x8192  causal      wheel  |        645.57 | void vllm::persistent::persistent_topk_kernel<512, 4u>(vllm: 636.5; Memset (Device) 1.3
4096x8192  causal      base   |        633.92 | void vllm::persistent::persistent_topk_kernel<512, 4u>(vllm: 630.9; Memset (Device) 1.3
4096x8192  causal      pr     |        610.63 | void vllm::persistent::persistent_topk_kernel<512, 4u>(vllm: 611.3; Memset (Device) 1.3
4096x8192  causal      exact  |       6763.29 | void at::native::mbtopk::computeBlockDigitCounts<float, unsi 2475.9; void at::native::vectorized_elementwise_kernel<4, at::native 1404.8; Memcpy DtoD (Device -> Device) 1380.5; void at::native::mbtopk::gatherTopK<float, unsigned int, 2>( 696.3
== KPROBE DONE ==
=== 08:59:27 rc=0
