position,reference_spread,reference_top1_agreement,reference_topk_jaccard,candidate_spread,candidate_top1_agreement,candidate_topk_jaccard,cross_abs_mean_logprob_delta,cross_top1_pairwise_agreement,cross_topk_pairwise_jaccard,cross_modal_top1_match
1186,1.3489937782287598,0.625,0.7144274376417233,1.3489937782287598,0.625,0.7144274376417233,0.0,0.46875,0.7501240079365079,True
14,0.7971944808959961,1.0,1.0,0.7971944808959961,1.0,1.0,0.0,1.0,1.0,True
6,0.7262454032897949,1.0,0.875,0.7262454032897949,1.0,0.875,0.0,1.0,0.890625,True
44,0.7194695472717285,1.0,1.0,0.7194695472717285,1.0,1.0,0.0,1.0,1.0,True
163,0.6839694976806641,1.0,1.0,0.6839694976806641,1.0,1.0,0.0,1.0,1.0,True
20,0.6747983694076538,0.875,1.0,0.6747983694076538,0.875,1.0,0.0,0.78125,1.0,True
5,0.5555291175842285,1.0,0.9285714285714286,0.5555291175842285,1.0,0.9285714285714286,0.0,1.0,0.9375,True
564,0.19129705429077148,0.625,0.8571428571428571,0.19129705429077148,0.625,0.8571428571428571,0.0,0.46875,0.875,True
569,0.3237147331237793,0.625,1.0,0.3237147331237793,0.625,1.0,0.0,0.46875,1.0,True
602,0.1954665184020996,0.625,0.9166666666666667,0.1954665184020996,0.625,0.9166666666666667,0.0,0.46875,0.9270833333333334,True
635,0.15857243537902832,0.625,0.9583333333333333,0.15857243537902832,0.625,0.9583333333333333,0.0,0.46875,0.9635416666666666,True
671,0.2132420539855957,0.625,1.0,0.2132420539855957,0.625,1.0,0.0,0.46875,1.0,True
770,0.15192341804504395,0.625,1.0,0.15192341804504395,0.625,1.0,0.0,0.46875,1.0,True
794,0.19899487495422363,0.625,0.8571428571428571,0.19899487495422363,0.625,0.8571428571428571,0.0,0.46875,0.875,True
822,0.09232926368713379,0.625,0.9285714285714286,0.09232926368713379,0.625,0.9285714285714286,0.0,0.46875,0.9375,True
853,0.24800920486450195,0.625,0.8214285714285714,0.24800920486450195,0.625,0.8214285714285714,0.0,0.46875,0.84375,True
855,0.2134995460510254,0.625,0.8571428571428571,0.2134995460510254,0.625,0.8571428571428571,0.0,0.46875,0.875,True
856,0.13016152381896973,0.625,0.9285714285714286,0.13016152381896973,0.625,0.9285714285714286,0.0,0.46875,0.9375,True
926,0.20072150230407715,0.625,0.9166666666666667,0.20072150230407715,0.625,0.9166666666666667,0.0,0.46875,0.9270833333333334,True
981,0.11517834663391113,0.625,0.9285714285714286,0.11517834663391113,0.625,0.9285714285714286,0.0,0.46875,0.9375,True
1046,0.1451425552368164,0.625,0.9166666666666667,0.1451425552368164,0.625,0.9166666666666667,0.0,0.46875,0.9270833333333334,True
1050,0.13835644721984863,0.625,0.897108843537415,0.13835644721984863,0.625,0.897108843537415,0.0,0.46875,0.9099702380952381,True
1098,0.22221708297729492,0.625,1.0,0.22221708297729492,0.625,1.0,0.0,0.46875,1.0,True
1125,0.22217321395874023,0.625,0.8001700680272109,0.22217321395874023,0.625,0.8001700680272109,0.0,0.46875,0.8251488095238095,True
1191,0.1540893316268921,0.625,0.8571428571428571,0.1540893316268921,0.625,0.8571428571428571,0.0,0.46875,0.875,True
1234,0.21935176849365234,0.625,0.8775510204081634,0.21935176849365234,0.625,0.8775510204081634,0.0,0.46875,0.8928571428571429,True
1245,0.26287078857421875,0.625,0.9166666666666667,0.26287078857421875,0.625,0.9166666666666667,0.0,0.46875,0.9270833333333334,True
788,0.5065066814422607,0.625,0.7704081632653061,0.5065066814422607,0.625,0.7704081632653061,0.0,0.53125,0.7991071428571429,True
8,0.476473331451416,1.0,0.9166666666666667,0.476473331451416,1.0,0.9166666666666667,0.0,1.0,0.9270833333333334,True
575,0.09972405433654785,0.625,1.0,0.09972405433654785,0.625,1.0,0.0,0.53125,1.0,True
589,0.18338632583618164,0.625,1.0,0.18338632583618164,0.625,1.0,0.0,0.53125,1.0,True
597,0.143021821975708,0.625,1.0,0.143021821975708,0.625,1.0,0.0,0.53125,1.0,True
598,0.1639556884765625,0.625,0.7976190476190476,0.1639556884765625,0.625,0.7976190476190476,0.0,0.53125,0.8229166666666666,True
600,0.08565688133239746,0.625,0.8469387755102041,0.08565688133239746,0.625,0.8469387755102041,0.0,0.53125,0.8660714285714286,True
648,0.1072540283203125,0.625,0.8673469387755102,0.1072540283203125,0.625,0.8673469387755102,0.0,0.53125,0.8839285714285714,True
680,0.2357645034790039,0.625,1.0,0.2357645034790039,0.625,1.0,0.0,0.53125,1.0,True
681,0.07899808883666992,0.625,1.0,0.07899808883666992,0.625,1.0,0.0,0.53125,1.0,True
691,0.2993171215057373,0.625,0.8214285714285714,0.2993171215057373,0.625,0.8214285714285714,0.0,0.53125,0.84375,True
700,0.07874941825866699,0.625,0.8086734693877551,0.07874941825866699,0.625,0.8086734693877551,0.0,0.53125,0.8325892857142857,True
704,0.09720373153686523,0.625,1.0,0.09720373153686523,0.625,1.0,0.0,0.53125,1.0,True
706,0.15151453018188477,0.625,1.0,0.15151453018188477,0.625,1.0,0.0,0.53125,1.0,True
709,0.15217375755310059,0.625,1.0,0.15217375755310059,0.625,1.0,0.0,0.53125,1.0,True
716,0.13494658470153809,0.625,0.826530612244898,0.13494658470153809,0.625,0.826530612244898,0.0,0.53125,0.8482142857142857,True
725,0.27274954319000244,0.625,0.8214285714285714,0.27274954319000244,0.625,0.8214285714285714,0.0,0.53125,0.84375,True
731,0.36638832092285156,0.625,0.9285714285714286,0.36638832092285156,0.625,0.9285714285714286,0.0,0.53125,0.9375,True
743,0.260530948638916,0.625,0.7840136054421769,0.260530948638916,0.625,0.7840136054421769,0.0,0.53125,0.8110119047619048,True
759,0.2053060531616211,0.625,0.9166666666666667,0.2053060531616211,0.625,0.9166666666666667,0.0,0.53125,0.9270833333333334,True
766,0.3157360553741455,0.625,1.0,0.3157360553741455,0.625,1.0,0.0,0.53125,1.0,True
769,0.08399391174316406,0.625,0.869047619047619,0.08399391174316406,0.625,0.869047619047619,0.0,0.53125,0.8854166666666666,True
773,0.18390536308288574,0.625,0.9166666666666667,0.18390536308288574,0.625,0.9166666666666667,0.0,0.53125,0.9270833333333334,True
