rows      n     k | stock med     min     max |  det med     min     max | ratio(med) ratio(min)
   1   1024   512 |       8.3     8.2     8.4 |     10.4    10.4    10.5 |       1.26       1.26
   1   4096   512 |       8.3     8.3     8.3 |     14.5    14.4    23.1 |       1.75       1.75
   1   4096  2048 |       6.1     6.0     6.2 |     26.5    26.5    26.6 |       4.33       4.41
   1   8192   512 |      10.3    10.3    10.3 |     18.3    18.3    18.5 |       1.78       1.78
   1   8192  2048 |      10.3    10.3    10.3 |     30.1    30.1    30.2 |       2.91       2.91
   1  16384   512 |      12.4    12.4    12.4 |     24.9    24.8    25.2 |       2.02       2.01
   1  16384  2048 |      14.4    14.4    14.5 |     37.2    37.1    37.3 |       2.58       2.57
   1  32768   512 |      18.5    18.5    18.5 |     57.8    57.7    57.8 |       3.12       3.12
   1  32768  2048 |      18.5    18.5    18.6 |     71.8    71.7    71.8 |       3.87       3.87
   1  65536   512 |      16.5    16.5    16.5 |     26.7    26.7    26.7 |       1.62       1.62
   1  65536  2048 |      16.5    16.5    20.2 |     39.0    39.0    40.6 |       2.36       2.37
  64   1024   512 |      12.4    12.4    12.4 |     20.6    20.5    20.6 |       1.66       1.66
  64   4096   512 |      16.5    16.5    16.5 |     26.6    26.6    26.6 |       1.61       1.61
  64   4096  2048 |      12.4    12.4    12.5 |     49.4    49.3    53.4 |       3.98       3.98
  64   8192   512 |      18.5    18.5    18.6 |     34.5    32.9    38.3 |       1.86       1.78
  64   8192  2048 |      18.5    18.5    18.6 |     57.5    57.5    57.5 |       3.10       3.10
  64  16384   512 |      26.7    26.7    32.8 |     49.3    49.3    49.3 |       1.85       1.85
  64  16384  2048 |      30.1    30.0    30.8 |     73.8    73.8    73.9 |       2.45       2.46
  64  32768   512 |      49.3    49.3    57.1 |    170.9   169.7   175.8 |       3.47       3.45
  64  32768  2048 |      55.5    55.5    55.7 |    207.1   207.0   213.1 |       3.73       3.73
  64  65536   512 |     101.7   101.5   107.9 |    168.0   167.9   175.9 |       1.65       1.65
  64  65536  2048 |     108.6   108.6   112.0 |    231.9   231.8   232.2 |       2.13       2.13
   2   8192  2048 |      12.4    12.4    12.4 |     30.8    30.8    30.8 |       2.49       2.49
   2  16384  2048 |      16.5    16.4    20.6 |     39.0    39.0    39.0 |       2.37       2.37
   2  32768  2048 |      21.2    21.2    22.2 |     73.5    71.8    77.7 |       3.46       3.39
   4   8192  2048 |      12.2    12.2    12.3 |     30.8    30.8    31.0 |       2.53       2.53
   4  16384  2048 |      16.5    16.5    16.5 |     39.0    39.0    39.0 |       2.37       2.37
   4  32768  2048 |      22.6    22.6    22.6 |     71.8    71.8    71.8 |       3.18       3.18
   8   8192  2048 |      12.4    12.3    12.4 |     30.8    30.8    30.9 |       2.49       2.50
   8  16384  2048 |      16.5    16.5    16.5 |     39.0    39.0    39.1 |       2.37       2.37
   8  32768  2048 |      22.5    22.5    22.6 |     71.8    71.8    71.8 |       3.19       3.19
  16   8192  2048 |      12.4    12.4    12.4 |     30.8    30.8    30.8 |       2.49       2.49
  16  16384  2048 |      17.4    17.3    17.6 |     39.0    39.0    39.0 |       2.24       2.25
  16  32768  2048 |      22.6    22.6    28.4 |     71.8    71.8    74.1 |       3.18       3.18
  24   8192  2048 |      12.4    12.4    12.4 |     30.8    30.8    30.8 |       2.49       2.49
  24  16384  2048 |      16.5    16.5    16.6 |     39.0    39.0    39.0 |       2.36       2.37
  24  32768  2048 |      22.6    22.6    33.0 |     73.2    71.8    77.8 |       3.23       3.17
  32   8192  2048 |      12.4    12.4    12.4 |     30.8    30.8    30.9 |       2.49       2.49
  32  16384  2048 |      16.6    16.6    22.5 |     39.0    39.0    42.8 |       2.35       2.35
  32  32768  2048 |      39.0    39.0    39.0 |    141.4   141.3   147.3 |       3.62       3.62
  48   8192  2048 |      12.4    12.4    12.5 |     31.8    31.6    32.0 |       2.57       2.56
  48  16384  2048 |      18.5    18.5    22.6 |     39.8    39.7    40.0 |       2.15       2.14
  48  32768  2048 |      39.6    39.3    45.6 |    141.4   141.3   147.4 |       3.57       3.60
bench exit 0
