# RADIX_THRESHOLD variants, bench_det.py medians (us), rows n k | stock det@32768 det@8192 det@16384
1 16384 512 12.4 24.9	24.7	25.3
1 16384 2048 14.4 37.2	37.0	37.4
1 32768 512 18.5 57.8	24.7	24.7
1 32768 2048 18.5 71.8	37.8	37.5
64 16384 512 26.7 49.3	59.5	49.3
64 16384 2048 30.1 73.8	84.1	74.2
64 32768 512 49.3 170.9	88.1	88.1
64 32768 2048 55.5 207.1	127.1	127.1
2 16384 2048 16.5 39.0	39.0	39.0
2 32768 2048 21.2 73.5	39.0	39.0
4 16384 2048 16.5 39.0	39.0	39.0
4 32768 2048 22.6 71.8	39.0	39.1
8 16384 2048 16.5 39.0	39.0	39.0
8 32768 2048 22.5 71.8	41.1	41.1
16 16384 2048 17.4 39.0	43.1	39.0
16 32768 2048 22.6 71.8	45.2	45.2
24 16384 2048 16.5 39.0	44.1	39.0
24 32768 2048 22.6 73.2	85.4	85.1
32 16384 2048 16.6 39.0	45.1	39.2
32 32768 2048 39.0 141.4	86.1	86.1
48 16384 2048 18.5 39.8	84.1	40.7
48 32768 2048 39.6 141.4	126.7	126.5

# full table, RADIX_THRESHOLD=16384 (adopted)
rows      n     k | stock med     min     max |  det med     min     max | ratio(med) ratio(min)
   1   1024   512 |       6.2     6.2     6.6 |     10.4    10.4    10.5 |       1.68       1.68
   1   4096   512 |       6.2     6.2     6.4 |     14.4    14.4    14.4 |       2.32       2.34
   1   4096  2048 |       8.3     8.3     8.5 |     26.7    26.7    26.7 |       3.22       3.22
   1   8192   512 |      10.3    10.3    10.5 |     18.5    18.5    18.5 |       1.79       1.79
   1   8192  2048 |      10.3    10.3    10.3 |     30.4    30.3    30.5 |       2.95       2.94
   1  16384   512 |      12.5    12.5    14.8 |     25.3    25.1    30.2 |       2.01       2.01
   1  16384  2048 |      14.4    14.4    20.0 |     37.4    37.3    37.5 |       2.59       2.59
   1  32768   512 |      18.5    18.5    18.5 |     24.7    24.7    24.7 |       1.33       1.33
   1  32768  2048 |      20.6    20.6    20.8 |     37.5    37.4    37.7 |       1.82       1.82
   1  65536   512 |      16.5    16.5    16.5 |     26.7    26.7    26.7 |       1.62       1.62
   1  65536  2048 |      16.8    16.7    16.9 |     39.0    39.0    39.0 |       2.33       2.33
  64   1024   512 |      14.4    14.4    14.4 |     22.0    20.5    25.3 |       1.53       1.43
  64   4096   512 |      16.5    16.5    22.9 |     26.6    26.5    26.6 |       1.61       1.61
  64   4096  2048 |      14.4    14.4    17.4 |     49.3    49.3    52.4 |       3.42       3.43
  64   8192   512 |      18.5    18.5    23.3 |     34.6    33.2    37.4 |       1.86       1.79
  64   8192  2048 |      19.0    18.9    19.1 |     59.3    59.1    63.1 |       3.12       3.12
  64  16384   512 |      26.6    26.5    26.6 |     49.3    49.3    52.6 |       1.86       1.86
  64  16384  2048 |      28.8    28.8    30.8 |     74.2    74.1    74.4 |       2.58       2.57
  64  32768   512 |      49.3    49.3    56.7 |     88.1    88.1    91.7 |       1.79       1.79
  64  32768  2048 |      55.6    55.5    55.8 |    127.1   127.1   132.0 |       2.29       2.29
  64  65536   512 |     100.4   100.4   108.0 |    166.0   166.0   166.1 |       1.65       1.65
  64  65536  2048 |     110.9   110.9   111.1 |    235.4   235.4   235.6 |       2.12       2.12
   2   8192  2048 |      12.3    12.3    12.4 |     30.8    30.8    30.9 |       2.50       2.51
   2  16384  2048 |      16.5    16.4    16.5 |     39.0    39.0    39.0 |       2.37       2.37
   2  32768  2048 |      21.0    21.0    23.4 |     39.0    39.0    41.9 |       1.86       1.86
   4   8192  2048 |      12.2    12.2    12.3 |     30.8    30.8    30.9 |       2.53       2.53
   4  16384  2048 |      16.5    16.5    16.5 |     39.0    39.0    39.1 |       2.37       2.37
   4  32768  2048 |      21.8    21.6    22.2 |     39.1    39.0    43.7 |       1.79       1.80
   8   8192  2048 |      12.4    12.3    12.5 |     30.8    30.8    30.8 |       2.49       2.50
   8  16384  2048 |      16.5    16.5    20.0 |     39.0    39.0    42.4 |       2.37       2.37
   8  32768  2048 |      22.6    22.6    22.6 |     41.1    41.1    41.1 |       1.82       1.82
  16   8192  2048 |      12.4    12.3    12.4 |     30.8    30.8    30.9 |       2.49       2.50
  16  16384  2048 |      17.8    17.7    17.9 |     39.0    39.0    39.0 |       2.19       2.21
  16  32768  2048 |      22.6    22.6    28.2 |     45.2    45.1    45.2 |       2.00       1.99
  24   8192  2048 |      12.4    12.4    18.5 |     30.8    30.8    30.9 |       2.49       2.49
  24  16384  2048 |      18.1    17.9    22.0 |     39.0    39.0    39.0 |       2.16       2.18
  24  32768  2048 |      22.6    22.6    25.9 |     85.1    84.9    88.1 |       3.76       3.75
  32   8192  2048 |      12.4    12.4    18.9 |     30.9    30.8    30.9 |       2.49       2.49
  32  16384  2048 |      18.5    18.5    18.5 |     39.2    39.0    43.6 |       2.12       2.11
  32  32768  2048 |      39.0    39.0    39.1 |     86.1    86.1    92.1 |       2.21       2.21
  48   8192  2048 |      12.4    12.4    12.5 |     32.4    32.3    32.6 |       2.61       2.60
  48  16384  2048 |      18.5    18.5    18.5 |     40.7    39.5    45.4 |       2.20       2.13
  48  32768  2048 |      40.0    39.8    40.1 |    126.5   126.4   126.7 |       3.16       3.17
